TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,21/09/13
TIME,17:51:40
SPECTROMETER/DATA SYSTEM,
LOCALE,2057
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  300.0000
NPOINTS,    1201
FIRSTY,     0.00974
MAXY,     1.00322
MINY,    -0.00887
XYDATA
900.0000,0.00974112
899.5000,0.00489974
899.0000,0.00412922
898.5000,0.00570557
898.0000,0.00777553
897.5000,0.00579166
897.0000,0.00287936
896.5000,0.00297461
896.0000,0.00215524
895.5000,0.00214783
895.0000,0.00387784
894.5000,0.0032247
894.0000,0.00172843
893.5000,-0.000245143
893.0000,-0.00144207
892.5000,0.00297971
892.0000,0.00475377
891.5000,0.00334113
891.0000,0.000443282
890.5000,0.00209534
890.0000,0.00801155
889.5000,0.00966913
889.0000,0.00900422
888.5000,0.000718704
888.0000,-0.00027281
887.5000,0.00311682
887.0000,0.00201476
886.5000,0.00216279
886.0000,-0.00249616
885.5000,-0.0039717
885.0000,-0.00357678
884.5000,-0.00123706
884.0000,0.00852965
883.5000,0.0128346
883.0000,0.0100933
882.5000,0.00640585
882.0000,0.00277127
881.5000,0.00268646
881.0000,-0.00075892
880.5000,0.007962
880.0000,0.00534091
879.5000,0.00562575
879.0000,-0.00154577
878.5000,0.00423496
878.0000,0.00708606
877.5000,0.00651821
877.0000,0.00619512
876.5000,0.00509035
876.0000,0.0104563
875.5000,0.00268792
875.0000,0.0010887
874.5000,-0.00769958
874.0000,-0.00804003
873.5000,-0.00310919
873.0000,-0.00087204
872.5000,0.00632858
872.0000,0.00397979
871.5000,0.00828962
871.0000,0.00961766
870.5000,0.00877168
870.0000,0.00413408
869.5000,0.00568281
869.0000,0.00393776
868.5000,0.00255728
868.0000,0.00370263
867.5000,0.00478993
867.0000,0.00938209
866.5000,0.010503
866.0000,0.00685939
865.5000,0.000695677
865.0000,-0.00132699
864.5000,-0.00648448
864.0000,-0.00632305
863.5000,-0.00887144
863.0000,-0.00265193
862.5000,-0.000500171
862.0000,0.00595789
861.5000,0.0140078
861.0000,0.0183171
860.5000,0.0111045
860.0000,0.00911689
859.5000,0.00567261
859.0000,0.00188954
858.5000,-0.00333191
858.0000,-0.00717749
857.5000,0.000969808
857.0000,-7.97017E-005
856.5000,0.00863498
856.0000,0.00864488
855.5000,0.00534947
855.0000,0.00609019
854.5000,-0.00139999
854.0000,-0.00194217
853.5000,0.00929594
853.0000,0.00711097
852.5000,0.00680314
852.0000,-0.00194922
851.5000,0.00458573
851.0000,0.0033587
850.5000,0.00740333
850.0000,0.00416782
849.5000,0.00453591
849.0000,0.00391818
848.5000,0.00347047
848.0000,0.00422609
847.5000,0.00413188
847.0000,0.00466214
846.5000,0.00429497
