TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/05/13
TIME,18:38:11
SPECTROMETER/DATA SYSTEM,
LOCALE,2057
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  850.0000
LASTX,  300.0000
NPOINTS,    1101
FIRSTY,     0.20670
MAXY,     0.35009
MINY,     0.04268
XYDATA
850.0000,0.206697
849.5000,0.207058
849.0000,0.207426
848.5000,0.207865
848.0000,0.208283
847.5000,0.208709
847.0000,0.209114
846.5000,0.209581
846.0000,0.20993
845.5000,0.210412
845.0000,0.21076
844.5000,0.211042
844.0000,0.211538
843.5000,0.211931
843.0000,0.212365
842.5000,0.212759
842.0000,0.213236
841.5000,0.213574
841.0000,0.214078
840.5000,0.214643
840.0000,0.215169
839.5000,0.215617
839.0000,0.215955
838.5000,0.21634
838.0000,0.216812
837.5000,0.217322
837.0000,0.21779
836.5000,0.218137
836.0000,0.21847
835.5000,0.218933
835.0000,0.219415
834.5000,0.219935
834.0000,0.220326
833.5000,0.220753
833.0000,0.221225
832.5000,0.221713
832.0000,0.222143
831.5000,0.22259
831.0000,0.223075
830.5000,0.223435
830.0000,0.223775
829.5000,0.22419
829.0000,0.224633
828.5000,0.22505
828.0000,0.225477
827.5000,0.22587
827.0000,0.226312
826.5000,0.226709
826.0000,0.227203
825.5000,0.227692
825.0000,0.228043
824.5000,0.228519
824.0000,0.229034
823.5000,0.229461
823.0000,0.229947
822.5000,0.230504
822.0000,0.23098
821.5000,0.231346
821.0000,0.231893
820.5000,0.232316
820.0000,0.232739
819.5000,0.233151
819.0000,0.233546
818.5000,0.233874
818.0000,0.234293
817.5000,0.234754
817.0000,0.235057
816.5000,0.235442
816.0000,0.235855
815.5000,0.236207
815.0000,0.236591
814.5000,0.237054
814.0000,0.237524
813.5000,0.237978
813.0000,0.238495
812.5000,0.238901
812.0000,0.239287
811.5000,0.239781
811.0000,0.240232
810.5000,0.240607
810.0000,0.240965
809.5000,0.24131
809.0000,0.241696
808.5000,0.242122
808.0000,0.24256
807.5000,0.242916
807.0000,0.243326
806.5000,0.243769
806.0000,0.244115
805.5000,0.24448
805.0000,0.244801
804.5000,0.245161
804.0000,0.245553
803.5000,0.245932
803.0000,0.24631
802.5000,0.246667
802.0000,0.247103
801.5000,0.247524
801.0000,0.247955
800.5000,0.248361
800.0000,0.248751
799.5000,0.249187
799.0000,0.249529
798.5000,0.249859
798.0000,0.250139
797.5000,0.250462
797.0000,0.250735
796.5000,0.251042
796.0000,0.2513
795.5000,0.251524
795.0000,0.251857
794.5000,0.252176
794.0000,0.252528
793.5000,0.25275
793.0000,0.25313
792.5000,0.253349
792.0000,0.25372
791.5000,0.254044
791.0000,0.254239
790.5000,0.254503
790.0000,0.254768
