TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/05/13
TIME,18:40:48
SPECTROMETER/DATA SYSTEM,
LOCALE,2057
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  850.0000
LASTX,  300.0000
NPOINTS,    1101
FIRSTY,     0.19997
MAXY,     0.29241
MINY,     0.03725
XYDATA
850.0000,0.199968
849.5000,0.200272
849.0000,0.20061
848.5000,0.200937
848.0000,0.20113
847.5000,0.201472
847.0000,0.201752
846.5000,0.202098
846.0000,0.202481
845.5000,0.202898
845.0000,0.2032
844.5000,0.203557
844.0000,0.20398
843.5000,0.204274
843.0000,0.20467
842.5000,0.204963
842.0000,0.205328
841.5000,0.20548
841.0000,0.205847
840.5000,0.20622
840.0000,0.206578
839.5000,0.206956
839.0000,0.207186
838.5000,0.207484
838.0000,0.207914
837.5000,0.208334
837.0000,0.208838
836.5000,0.209151
836.0000,0.209511
835.5000,0.20986
835.0000,0.210259
834.5000,0.21071
834.0000,0.211012
833.5000,0.211414
833.0000,0.211671
832.5000,0.211987
832.0000,0.212348
831.5000,0.212727
831.0000,0.21314
830.5000,0.213442
830.0000,0.213715
829.5000,0.214028
829.0000,0.214388
828.5000,0.214761
828.0000,0.215022
827.5000,0.215318
827.0000,0.215606
826.5000,0.21593
826.0000,0.216323
825.5000,0.216702
825.0000,0.216994
824.5000,0.217372
824.0000,0.217767
823.5000,0.218093
823.0000,0.218453
822.5000,0.218805
822.0000,0.219124
821.5000,0.219453
821.0000,0.219821
820.5000,0.220125
820.0000,0.220399
819.5000,0.220762
819.0000,0.221082
818.5000,0.221449
818.0000,0.221783
817.5000,0.222065
817.0000,0.222275
816.5000,0.222626
816.0000,0.223033
815.5000,0.223296
815.0000,0.22364
814.5000,0.223864
814.0000,0.224192
813.5000,0.224535
813.0000,0.224914
812.5000,0.225178
812.0000,0.225455
811.5000,0.225799
811.0000,0.226087
810.5000,0.226473
810.0000,0.226722
809.5000,0.22706
809.0000,0.227355
808.5000,0.227647
808.0000,0.227955
807.5000,0.228202
807.0000,0.228483
806.5000,0.228776
806.0000,0.229091
805.5000,0.229331
805.0000,0.229567
804.5000,0.229842
804.0000,0.230101
803.5000,0.230417
803.0000,0.230668
802.5000,0.230922
802.0000,0.231108
801.5000,0.231429
801.0000,0.231711
800.5000,0.231987
800.0000,0.232219
799.5000,0.232451
799.0000,0.232699
798.5000,0.232907
798.0000,0.233168
797.5000,0.233338
797.0000,0.233564
796.5000,0.233806
796.0000,0.234055
795.5000,0.234242
795.0000,0.23445
794.5000,0.234657
794.0000,0.234898
793.5000,0.234999
793.0000,0.235207
792.5000,0.235323
792.0000,0.235562
791.5000,0.235739
791.0000,0.235924
790.5000,0.236091
790.0000,0.236259
