TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/05/13
TIME,11:42:47
SPECTROMETER/DATA SYSTEM,
LOCALE,2057
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  500.0000
LASTX,  200.0000
NPOINTS,     601
FIRSTY,     0.00973
MAXY,     7.00000
MINY,     0.00680
XYDATA
500.0000,0.00973479
499.5000,0.00969594
499.0000,0.00964568
498.5000,0.00967651
498.0000,0.00970096
497.5000,0.00971469
497.0000,0.00969713
496.5000,0.00968164
496.0000,0.00966134
495.5000,0.00965525
495.0000,0.00967017
494.5000,0.00969075
494.0000,0.0096333
493.5000,0.00962352
493.0000,0.00959592
492.5000,0.00956804
492.0000,0.00955153
491.5000,0.0095774
491.0000,0.00956675
490.5000,0.00949676
490.0000,0.00949986
489.5000,0.00945961
489.0000,0.00945652
488.5000,0.00949055
488.0000,0.00949561
487.5000,0.00947052
487.0000,0.0094774
486.5000,0.00945327
486.0000,0.0094509
485.5000,0.00944797
485.0000,0.00945689
484.5000,0.0094164
484.0000,0.00939373
483.5000,0.0093873
483.0000,0.00934886
482.5000,0.00936353
482.0000,0.00931291
481.5000,0.00930749
481.0000,0.00926073
480.5000,0.00931518
480.0000,0.00927719
479.5000,0.0092362
479.0000,0.00921459
478.5000,0.00916238
478.0000,0.0091887
477.5000,0.00918254
477.0000,0.0091916
476.5000,0.00910672
476.0000,0.00908479
475.5000,0.00907421
475.0000,0.00907477
474.5000,0.009086
474.0000,0.00913032
473.5000,0.00911173
473.0000,0.00906323
472.5000,0.00908091
472.0000,0.00910578
471.5000,0.00910365
471.0000,0.00910035
470.5000,0.0090764
470.0000,0.00902088
469.5000,0.00892467
469.0000,0.008896
468.5000,0.00886227
468.0000,0.00879279
467.5000,0.00878043
467.0000,0.00873831
466.5000,0.00871749
466.0000,0.00866122
465.5000,0.00871461
465.0000,0.00873986
464.5000,0.0087101
464.0000,0.00871397
463.5000,0.00870541
463.0000,0.00870104
462.5000,0.00869076
462.0000,0.00867389
461.5000,0.00865692
461.0000,0.00858623
460.5000,0.00859119
460.0000,0.00857235
459.5000,0.00857385
459.0000,0.00853594
458.5000,0.00849478
458.0000,0.00847562
457.5000,0.00846469
457.0000,0.00849124
456.5000,0.00846578
456.0000,0.00848075
455.5000,0.00843766
455.0000,0.00844921
454.5000,0.00846033
454.0000,0.00844134
453.5000,0.00840746
453.0000,0.00844978
452.5000,0.00842083
452.0000,0.00837711
451.5000,0.00839319
451.0000,0.00839379
450.5000,0.00838305
450.0000,0.00838157
449.5000,0.00840724
449.0000,0.00834659
448.5000,0.00837042
448.0000,0.00834531
447.5000,0.00833019
447.0000,0.00829638
446.5000,0.00827223
446.0000,0.00828112
445.5000,0.00822287
