,0
0,"[282.0, 675.0, 758.0, 814.0]"
1,"[282.0, 289.0, 312.0, 453.0]"
2,"[306.0, 307.0, 758.0]"
3,"[675.0, 758.0, 814.0, 933.0]"
4,"[282.0, 289.0, 312.0, 453.0, 597.0, 755.0, 870.0]"
5,"[246.0, 288.0, 289.0, 306.0, 307.0, 454.0, 482.0, 758.0, 933.0]"
6,"[282.0, 289.0, 306.0, 454.0, 482.0, 933.0]"
7,"[252.0, 261.0, 268.0, 282.0, 312.0, 453.0, 854.0, 933.0]"
8,"[814.0, 832.0, 854.0, 911.0, 933.0]"
9,[933.0]
10,"[282.0, 453.0]"
11,"[282.0, 453.0, 758.0]"
12,"[282.0, 453.0, 800.0]"
13,"[246.0, 288.0, 289.0, 306.0, 307.0, 423.0, 424.0, 454.0, 482.0]"
14,"[289.0, 306.0, 758.0, 933.0]"
15,"[289.0, 758.0]"
16,"[261.0, 268.0, 282.0, 289.0, 453.0]"
17,"[246.0, 288.0, 289.0, 306.0, 307.0, 454.0, 482.0]"
18,"[282.0, 758.0]"
19,"[252.0, 259.0, 261.0, 268.0, 854.0, 933.0]"
20,"[306.0, 758.0]"
21,"[675.0, 814.0, 832.0, 851.0, 911.0]"
22,"[246.0, 274.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 366.0, 423.0, 440.0, 454.0, 482.0]"
23,"[282.0, 362.0, 545.0, 933.0, 934.0, 974.0]"
24,"[282.0, 306.0, 362.0, 933.0]"
25,"[282.0, 453.0, 854.0, 933.0]"
26,"[282.0, 362.0, 453.0, 545.0, 933.0, 934.0, 974.0]"
27,"[362.0, 758.0, 933.0]"
28,"[282.0, 453.0, 933.0]"
29,"[246.0, 288.0, 289.0, 306.0, 307.0, 423.0, 440.0, 454.0, 482.0]"
30,"[268.0, 758.0, 933.0]"
31,"[282.0, 289.0, 312.0, 453.0, 597.0]"
32,"[362.0, 545.0, 933.0, 934.0, 974.0]"
33,"[282.0, 362.0, 453.0, 933.0]"
34,"[453.0, 814.0, 832.0, 851.0, 854.0, 911.0, 933.0]"
35,"[246.0, 288.0, 289.0, 306.0, 307.0, 424.0, 440.0, 454.0, 482.0, 933.0]"
36,"[282.0, 289.0, 453.0, 484.0, 563.0, 653.0, 755.0]"
