,0
0,"[255.0, 256.0, 313.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
1,"[255.0, 256.0, 313.0, 324.0, 354.0, 371.0, 569.0, 570.0]"
2,"[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 373.0, 468.0, 500.0, 563.0, 569.0, 570.0, 662.0, 733.0]"
3,"[255.0, 256.0, 313.0, 354.0, 369.0, 371.0, 373.0, 468.0, 470.0, 486.0, 500.0, 558.0, 569.0, 570.0, 731.0, 733.0, 734.0]"
4,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 373.0, 468.0, 500.0, 569.0, 570.0]"
5,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
6,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 509.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
7,"[255.0, 256.0, 313.0, 324.0, 354.0, 355.0, 371.0, 509.0, 541.0, 569.0, 570.0]"
8,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
9,"[255.0, 256.0, 313.0, 354.0, 371.0, 468.0, 486.0, 500.0, 569.0, 570.0]"
10,"[255.0, 256.0, 313.0, 354.0, 371.0, 468.0, 500.0, 509.0, 541.0, 569.0, 570.0]"
11,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 373.0, 468.0, 486.0, 500.0, 569.0, 570.0, 733.0]"
12,"[255.0, 256.0, 313.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
13,"[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
14,"[255.0, 256.0, 313.0, 354.0, 369.0, 468.0, 470.0, 486.0, 500.0, 505.0, 569.0, 669.0, 733.0, 734.0]"
15,"[255.0, 256.0, 313.0, 354.0, 371.0, 509.0, 541.0, 569.0, 570.0]"
16,"[255.0, 256.0, 313.0, 324.0, 354.0, 355.0, 371.0, 509.0, 569.0, 570.0]"
17,"[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 509.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
18,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 373.0, 468.0, 486.0, 500.0, 569.0, 570.0, 733.0]"
19,"[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 509.0, 541.0, 569.0, 570.0]"
20,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 369.0, 371.0, 373.0, 468.0, 470.0, 486.0, 500.0, 558.0, 569.0, 570.0, 731.0, 733.0]"
21,"[255.0, 256.0, 313.0, 342.0, 354.0, 355.0, 569.0]"
22,"[255.0, 256.0, 313.0, 354.0, 355.0, 569.0, 662.0, 970.0, 971.0]"
23,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 509.0, 569.0, 570.0]"
24,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 569.0, 570.0, 662.0, 733.0]"
25,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
26,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
27,"[255.0, 256.0, 313.0, 354.0, 369.0, 371.0, 468.0, 486.0, 500.0, 558.0, 569.0, 570.0, 731.0, 733.0, 734.0]"
28,"[255.0, 256.0, 313.0, 354.0, 371.0, 569.0, 570.0]"
29,"[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 468.0, 500.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
30,"[255.0, 256.0, 313.0, 354.0, 371.0, 468.0, 500.0, 509.0, 569.0, 570.0]"
31,"[255.0, 256.0, 313.0, 324.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
32,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
33,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
34,"[255.0, 256.0, 313.0, 354.0, 369.0, 371.0, 468.0, 486.0, 500.0, 569.0, 733.0]"
35,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 468.0, 500.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
36,"[255.0, 256.0, 313.0, 324.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
37,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 373.0, 468.0, 500.0, 569.0, 570.0]"
38,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 373.0, 468.0, 486.0, 500.0, 569.0, 570.0, 733.0]"
39,"[255.0, 256.0, 313.0, 354.0, 369.0, 468.0, 470.0, 486.0, 500.0, 558.0, 569.0, 570.0, 662.0, 731.0, 733.0, 734.0]"
40,"[255.0, 256.0, 313.0, 354.0, 371.0, 569.0, 570.0]"
41,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
42,"[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 486.0, 500.0, 569.0, 570.0]"
43,"[255.0, 256.0, 313.0, 354.0, 355.0, 398.0, 468.0, 500.0, 509.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
44,"[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
