,0
0,"[282.0, 758.0, 814.0]"
1,"[282.0, 289.0, 312.0, 453.0]"
2,"[288.0, 306.0, 362.0, 758.0]"
3,"[675.0, 758.0, 814.0, 933.0]"
4,"[282.0, 289.0, 312.0, 453.0, 597.0, 755.0, 870.0]"
5,"[246.0, 288.0, 289.0, 306.0, 307.0, 440.0, 454.0, 482.0, 485.0, 758.0]"
6,"[282.0, 289.0, 306.0, 453.0, 454.0, 482.0, 933.0]"
7,"[252.0, 261.0, 268.0, 282.0, 312.0, 362.0, 453.0, 933.0]"
8,"[814.0, 851.0, 854.0, 933.0]"
9,"[282.0, 453.0, 758.0, 933.0]"
10,"[282.0, 453.0]"
11,"[282.0, 362.0, 453.0, 755.0, 758.0]"
12,"[282.0, 453.0, 800.0]"
13,"[246.0, 287.0, 288.0, 289.0, 306.0, 307.0, 424.0, 454.0, 482.0]"
14,"[289.0, 306.0, 758.0]"
15,[758.0]
16,"[252.0, 261.0, 268.0, 282.0, 362.0, 453.0]"
17,"[246.0, 288.0, 289.0, 306.0, 307.0, 454.0, 482.0]"
18,"[282.0, 453.0, 758.0]"
19,"[252.0, 259.0, 261.0, 268.0, 795.0, 854.0, 933.0]"
20,"[282.0, 306.0, 758.0]"
21,"[814.0, 832.0, 851.0, 911.0]"
22,"[246.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 366.0, 424.0, 440.0, 758.0]"
23,"[362.0, 371.0, 378.0, 758.0, 933.0, 934.0, 974.0, 1012.0]"
24,"[282.0, 306.0, 362.0, 371.0, 453.0, 933.0]"
25,"[453.0, 854.0, 933.0]"
26,"[282.0, 362.0, 453.0, 545.0, 933.0, 934.0, 974.0, 1007.0]"
27,"[362.0, 758.0, 933.0, 1007.0]"
28,"[282.0, 453.0, 933.0]"
29,"[246.0, 287.0, 288.0, 289.0, 306.0, 307.0, 440.0, 454.0, 482.0]"
30,"[362.0, 371.0, 758.0, 933.0]"
31,"[282.0, 289.0, 306.0, 312.0, 322.0, 352.0, 453.0, 597.0, 755.0]"
32,"[362.0, 371.0, 545.0, 758.0, 933.0]"
33,"[282.0, 362.0, 371.0, 453.0, 933.0]"
34,"[691.0, 713.0, 792.0, 814.0, 832.0, 851.0, 854.0, 911.0]"
35,"[246.0, 282.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 424.0, 440.0, 454.0, 482.0, 933.0]"
36,"[282.0, 289.0, 453.0, 597.0, 755.0, 758.0]"
37,"[362.0, 371.0, 378.0, 758.0, 854.0, 933.0, 934.0, 974.0, 1012.0]"
38,"[282.0, 289.0, 453.0, 597.0, 755.0]"
39,"[289.0, 306.0, 307.0, 454.0, 482.0, 758.0, 933.0]"
40,"[282.0, 634.0, 713.0, 795.0, 854.0]"
41,"[282.0, 362.0, 371.0, 545.0, 933.0, 934.0, 974.0]"
42,"[758.0, 933.0, 1007.0]"
43,"[246.0, 282.0, 287.0, 288.0, 289.0, 306.0, 307.0, 364.0, 424.0, 440.0, 454.0, 482.0, 933.0]"
44,"[282.0, 289.0, 306.0, 324.0, 453.0, 597.0, 755.0]"
45,"[758.0, 933.0]"
46,"[282.0, 362.0, 371.0, 758.0, 933.0]"
47,"[675.0, 758.0, 814.0, 933.0]"
48,"[753.0, 772.0, 776.0, 792.0, 832.0, 854.0]"
49,"[524.0, 545.0, 566.0, 597.0, 645.0, 658.0, 776.0, 792.0, 854.0]"
50,"[288.0, 306.0, 307.0, 776.0, 792.0, 854.0]"
51,"[302.0, 306.0, 324.0, 326.0, 933.0]"
52,"[776.0, 792.0, 854.0, 933.0]"
53,"[246.0, 265.0, 288.0, 289.0, 306.0, 307.0, 366.0]"
54,"[288.0, 289.0, 306.0, 307.0, 758.0]"
55,"[246.0, 288.0, 289.0, 306.0, 307.0, 366.0, 776.0, 792.0, 854.0, 933.0, 934.0, 974.0]"
56,"[306.0, 367.0, 703.0, 713.0, 733.0, 776.0, 792.0, 795.0, 832.0, 833.0, 850.0, 854.0, 855.0, 911.0, 912.0, 933.0, 934.0, 951.0, 974.0, 1624.0, 1703.0, 1704.0]"
57,"[288.0, 289.0, 306.0, 307.0, 324.0, 325.0, 326.0, 367.0, 776.0, 792.0, 795.0, 854.0]"
58,"[306.0, 367.0, 545.0, 758.0, 776.0, 788.0, 792.0, 795.0, 854.0, 933.0, 934.0, 951.0, 974.0, 1041.0, 1235.0, 1415.0, 1595.0, 1775.0]"
59,"[367.0, 776.0, 792.0, 795.0, 832.0, 833.0, 854.0, 911.0, 933.0, 934.0, 974.0]"
60,"[776.0, 792.0, 832.0, 846.0, 854.0, 925.0]"
61,"[246.0, 288.0, 289.0, 306.0, 307.0, 366.0, 792.0, 854.0]"
62,"[288.0, 289.0, 306.0, 307.0, 324.0, 326.0, 758.0]"
63,"[282.0, 367.0, 367.0, 792.0, 854.0]"
64,"[282.0, 289.0, 312.0, 367.0, 453.0, 466.0, 792.0, 795.0, 854.0, 933.0]"
65,"[282.0, 289.0, 312.0, 322.0, 367.0, 453.0, 466.0, 545.0, 792.0, 795.0, 854.0, 872.0, 933.0]"
66,"[282.0, 282.0, 283.0, 289.0, 312.0, 320.0, 322.0, 453.0, 466.0, 503.0, 545.0, 597.0, 634.0, 674.0, 713.0, 755.0, 758.0, 792.0]"
67,"[282.0, 289.0, 312.0, 322.0, 367.0, 436.0, 437.0, 453.0, 466.0, 503.0, 545.0, 674.0, 758.0, 776.0, 792.0, 854.0, 933.0, 934.0, 974.0, 976.0, 1041.0, 1055.0, 1221.0, 1235.0, 1415.0]"
68,"[367.0, 758.0, 776.0, 792.0, 854.0, 933.0]"
69,"[282.0, 367.0, 436.0, 437.0, 451.0, 453.0, 545.0, 776.0, 792.0, 795.0, 854.0, 933.0, 934.0, 974.0]"
70,"[282.0, 289.0, 312.0, 322.0, 367.0, 453.0, 466.0, 503.0, 545.0, 674.0, 753.0]"
71,"[367.0, 367.0, 776.0, 792.0, 795.0, 832.0, 854.0, 911.0, 933.0, 1741.0]"
72,"[282.0, 367.0, 758.0, 792.0]"
73,"[367.0, 776.0, 792.0, 795.0, 832.0, 854.0, 933.0]"
74,"[367.0, 367.0, 758.0, 792.0, 854.0]"
75,"[367.0, 436.0, 437.0, 451.0, 758.0, 776.0, 792.0, 854.0, 933.0, 934.0, 974.0]"
76,"[282.0, 282.0, 283.0, 288.0, 289.0, 306.0, 307.0, 312.0, 320.0, 322.0, 436.0, 437.0, 451.0, 453.0, 466.0, 503.0, 545.0, 674.0, 776.0, 792.0, 854.0, 933.0, 934.0, 944.0, 974.0]"
77,"[282.0, 288.0, 289.0, 306.0, 307.0, 312.0, 322.0, 324.0, 326.0, 367.0, 453.0, 466.0, 482.0, 545.0, 776.0, 792.0, 795.0, 854.0, 933.0]"
78,"[755.0, 758.0]"
79,[]
80,"[367.0, 367.0, 436.0, 437.0, 451.0, 776.0, 792.0, 795.0, 854.0, 933.0, 934.0, 974.0]"
81,"[282.0, 367.0, 436.0, 437.0, 451.0, 453.0, 758.0, 776.0, 788.0, 792.0, 795.0, 854.0, 872.0, 933.0, 934.0, 951.0, 974.0]"
82,[758.0]
83,"[484.0, 563.0]"
84,"[367.0, 436.0, 437.0, 758.0, 792.0, 854.0, 933.0, 1041.0]"
85,"[282.0, 367.0, 453.0, 758.0, 792.0, 795.0, 854.0, 933.0]"
86,"[776.0, 792.0, 854.0]"
87,"[265.0, 282.0, 287.0, 288.0, 289.0, 306.0, 312.0, 324.0, 325.0, 326.0, 367.0, 453.0, 466.0, 776.0, 792.0, 795.0, 854.0]"
88,"[758.0, 933.0, 934.0, 974.0, 1055.0, 1235.0, 1415.0, 1595.0]"
89,"[282.0, 289.0, 312.0, 322.0, 453.0, 466.0, 503.0, 545.0, 674.0, 753.0, 933.0]"
90,"[265.0, 282.0, 282.0, 289.0, 289.0, 302.0, 312.0, 320.0, 322.0, 324.0, 325.0, 326.0, 327.0, 367.0, 453.0, 466.0, 503.0, 545.0, 597.0, 674.0, 753.0, 755.0, 792.0, 854.0]"
91,"[282.0, 288.0, 289.0, 306.0, 307.0, 312.0, 440.0, 453.0, 466.0, 545.0, 674.0, 758.0, 792.0, 854.0, 933.0]"
92,"[282.0, 288.0, 289.0, 306.0, 307.0, 312.0, 436.0, 437.0, 451.0, 453.0, 454.0, 466.0, 482.0, 545.0, 739.0, 758.0, 776.0, 792.0, 854.0, 933.0, 934.0, 944.0, 974.0]"
93,"[282.0, 453.0, 674.0, 792.0, 795.0, 854.0, 933.0, 934.0, 974.0]"
94,"[282.0, 453.0, 758.0]"
95,"[282.0, 288.0, 289.0, 306.0, 307.0, 312.0, 315.0, 453.0, 720.0, 776.0, 792.0, 854.0, 861.0, 933.0]"
96,[]
97,[]
98,"[367.0, 367.0, 795.0]"
99,"[367.0, 795.0]"
100,[854.0]
101,[854.0]
102,[]
103,"[795.0, 854.0]"
104,[854.0]
105,[]
106,[367.0]
107,[785.0]
108,[795.0]
109,[]
110,[]
111,"[367.0, 367.0, 691.0, 732.0, 750.0, 795.0]"
112,[]
113,[785.0]
114,"[367.0, 795.0]"
115,[]
116,"[367.0, 795.0]"
117,"[367.0, 795.0]"
118,"[265.0, 291.0]"
119,"[367.0, 367.0, 795.0]"
120,"[246.0, 265.0, 287.0, 288.0, 289.0, 290.0, 305.0, 306.0, 307.0, 324.0, 424.0]"
121,"[327.0, 367.0, 367.0, 732.0, 795.0]"
122,"[265.0, 267.0, 287.0, 289.0, 302.0, 306.0, 324.0, 325.0, 326.0]"
123,"[287.0, 289.0, 306.0, 440.0, 854.0]"
124,[795.0]
125,[]
126,[429.0]
127,"[265.0, 267.0, 287.0, 289.0, 306.0, 324.0, 325.0, 326.0]"
128,"[265.0, 291.0, 302.0, 795.0]"
129,"[265.0, 367.0, 795.0]"
130,[]
131,"[367.0, 367.0]"
132,"[795.0, 854.0]"
133,"[246.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 424.0, 440.0, 594.0, 854.0]"
134,[854.0]
135,"[289.0, 306.0]"
136,"[265.0, 289.0, 291.0, 306.0, 324.0, 325.0, 326.0]"
137,[]
138,"[246.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 424.0, 440.0]"
139,[367.0]
140,[367.0]
141,[429.0]
142,[]
143,[]
144,"[327.0, 336.0, 367.0, 367.0, 691.0, 716.0, 732.0, 795.0]"
145,"[634.0, 645.0, 691.0, 692.0, 713.0, 720.0, 776.0, 792.0, 792.0, 795.0, 834.0, 835.0, 836.0, 854.0]"
146,"[246.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 594.0, 634.0, 645.0, 691.0, 713.0, 720.0, 792.0, 792.0, 834.0, 835.0, 836.0, 854.0]"
147,"[265.0, 306.0, 327.0, 336.0, 367.0, 367.0, 691.0, 713.0, 716.0, 732.0, 795.0, 851.0]"
148,"[246.0, 287.0, 288.0, 306.0, 347.0, 597.0]"
149,"[287.0, 524.0, 645.0, 646.0, 776.0, 792.0, 854.0, 855.0]"
150,"[265.0, 289.0, 691.0, 792.0, 795.0, 834.0, 854.0]"
151,"[246.0, 287.0, 288.0, 289.0, 305.0, 306.0, 307.0, 347.0]"
152,"[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 305.0, 306.0, 307.0, 347.0]"
153,"[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 440.0, 597.0]"
154,"[429.0, 785.0]"
155,[]
156,"[265.0, 267.0, 302.0, 324.0, 367.0, 795.0]"
157,"[246.0, 247.0, 265.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 570.0, 571.0, 572.0, 594.0, 595.0, 630.0, 632.0]"
158,[814.0]
159,[]
160,"[327.0, 367.0, 367.0, 691.0, 716.0, 732.0, 795.0, 851.0, 1487.0]"
161,"[265.0, 267.0, 302.0, 324.0, 795.0]"
162,"[634.0, 645.0, 691.0, 713.0, 720.0, 776.0, 792.0, 792.0, 795.0, 832.0, 833.0, 834.0, 836.0, 851.0, 854.0, 911.0, 912.0]"
163,"[634.0, 645.0, 691.0, 713.0, 720.0, 776.0, 792.0, 792.0, 795.0, 832.0, 834.0, 851.0, 854.0, 911.0]"
164,"[265.0, 267.0, 306.0, 324.0, 565.0, 589.0]"
165,"[367.0, 634.0, 691.0, 713.0, 732.0, 772.0, 792.0, 795.0, 832.0, 834.0, 851.0, 911.0]"
166,"[327.0, 367.0, 367.0, 732.0, 795.0]"
167,"[691.0, 832.0, 834.0, 854.0, 911.0]"
168,"[246.0, 265.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 424.0, 440.0]"
169,"[634.0, 645.0, 691.0, 713.0, 792.0, 795.0, 834.0, 854.0]"
170,[834.0]
171,"[246.0, 265.0, 287.0, 288.0, 289.0, 290.0, 299.0, 306.0, 307.0, 440.0, 594.0]"
172,"[289.0, 327.0, 367.0, 367.0, 732.0, 769.0, 795.0]"
173,"[832.0, 854.0, 911.0]"
174,"[327.0, 367.0, 367.0, 732.0, 795.0, 851.0]"
175,"[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 308.0, 380.0, 440.0, 570.0, 594.0]"
176,"[289.0, 306.0, 675.0, 736.0, 814.0, 815.0, 854.0]"
177,"[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 347.0, 594.0, 595.0, 834.0]"
178,"[246.0, 287.0, 288.0, 289.0, 306.0, 307.0, 367.0, 390.0, 524.0, 566.0, 594.0, 645.0, 720.0, 740.0, 823.0, 824.0, 834.0, 837.0, 838.0]"
179,"[691.0, 834.0]"
180,"[634.0, 645.0, 691.0, 713.0, 792.0, 795.0, 834.0, 854.0]"
181,"[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 347.0]"
182,"[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 440.0, 594.0]"
183,"[246.0, 265.0, 267.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 324.0, 326.0, 440.0, 613.0, 634.0, 645.0, 691.0, 713.0, 792.0, 834.0]"
184,"[289.0, 327.0, 367.0, 367.0, 795.0]"
185,"[245.0, 246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 305.0, 306.0, 307.0, 380.0, 424.0, 440.0, 570.0, 594.0, 595.0, 630.0, 834.0]"
186,"[327.0, 367.0, 367.0, 795.0]"
187,"[246.0, 287.0, 288.0, 289.0, 305.0, 306.0, 322.0, 347.0, 379.0, 589.0, 854.0]"
188,"[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 440.0, 594.0]"
189,[814.0]
190,"[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 347.0, 594.0, 645.0, 713.0, 792.0, 834.0]"
191,"[246.0, 287.0, 289.0, 306.0, 524.0, 566.0, 634.0, 645.0, 646.0, 691.0, 713.0, 720.0, 792.0, 834.0, 835.0, 836.0, 854.0]"
