,0
0,"[576.0, 577.0, 585.0]"
1,"[374.0, 410.0, 758.0]"
2,"[410.0, 758.0]"
3,"[560.0, 562.0, 568.0, 576.0, 577.0, 578.0, 585.0, 586.0, 594.0]"
4,"[246.0, 289.0, 306.0, 307.0, 324.0, 431.0, 758.0]"
5,"[243.0, 257.0, 260.0, 261.0, 263.0, 285.0, 293.0, 301.0, 306.0, 319.0, 416.0, 560.0, 562.0, 576.0, 577.0, 585.0, 594.0]"
6,"[576.0, 758.0]"
7,"[576.0, 585.0]"
8,"[243.0, 246.0, 257.0, 261.0, 285.0, 289.0, 293.0, 306.0, 319.0, 324.0, 326.0, 431.0, 576.0]"
9,"[560.0, 562.0, 563.0, 568.0, 576.0, 577.0, 578.0, 585.0, 586.0, 594.0, 595.0]"
10,"[292.0, 311.0, 351.0, 374.0, 392.0, 410.0, 758.0]"
11,"[306.0, 560.0, 562.0, 568.0, 576.0, 577.0, 578.0, 585.0, 594.0]"
12,"[576.0, 577.0, 585.0]"
13,"[560.0, 562.0, 568.0, 576.0, 577.0, 585.0, 594.0]"
14,"[241.0, 243.0, 257.0, 261.0, 263.0, 263.0, 285.0, 286.0, 289.0, 293.0, 294.0, 294.0, 301.0, 302.0, 306.0, 307.0, 324.0, 348.0, 363.0, 416.0, 417.0, 437.0, 477.0, 569.0, 576.0, 581.0, 583.0, 586.0]"
15,"[306.0, 560.0, 562.0, 568.0, 576.0, 577.0, 578.0, 585.0, 586.0, 594.0, 595.0]"
16,[]
17,[]
18,[576.0]
19,[]
20,[]
21,"[374.0, 410.0, 758.0]"
22,[576.0]
23,"[374.0, 410.0, 758.0]"
24,"[306.0, 324.0, 326.0, 374.0, 410.0, 560.0, 562.0, 568.0, 576.0, 577.0, 585.0, 594.0, 676.0, 758.0]"
25,"[306.0, 324.0, 374.0, 410.0, 560.0, 562.0, 576.0, 577.0, 585.0, 758.0]"
26,[576.0]
27,"[292.0, 374.0, 410.0, 560.0, 576.0, 577.0, 758.0]"
28,[]
29,"[560.0, 562.0, 568.0, 576.0, 577.0, 578.0, 585.0, 594.0]"
