,0
0,"[1394.0, 1395.0, 1397.0, 1398.0, 1768.0, 1769.0, 1770.0, 1771.0, 1772.0, 1773.0, 1774.0, 1775.0, 1784.0, 1785.0, 1786.0, 1787.0, 1788.0, 1789.0, 1790.0]"
1,[]
2,[]
3,[]
4,"[256.0, 286.0, 313.0, 327.0, 328.0, 355.0, 359.0, 662.0]"
5,"[227.0, 243.0, 244.0, 257.0, 258.0, 319.0, 320.0, 591.0]"
6,[]
7,[]
8,"[282.0, 299.0, 313.0, 315.0, 340.0, 341.0, 342.0, 343.0, 355.0, 367.0, 370.0, 393.0, 408.0, 413.0, 437.0, 438.0, 479.0, 481.0, 590.0, 591.0, 648.0, 1759.0, 1760.0, 1761.0, 1762.0, 1763.0, 1771.0, 1772.0, 1773.0, 1774.0, 1775.0, 1776.0, 1777.0, 1778.0, 1779.0, 1780.0, 1781.0, 1786.0, 1787.0, 1788.0, 1789.0, 1790.0, 1791.0, 1792.0, 1793.0, 1794.0, 1795.0, 1796.0, 1797.0]"
9,[]
10,[]
11,[]
12,[]
13,[]
14,"[285.0, 293.0, 294.0, 295.0, 340.0, 569.0, 577.0, 578.0, 579.0, 580.0, 581.0, 583.0, 590.0, 591.0, 592.0, 594.0, 629.0, 630.0, 657.0, 671.0]"
15,[]
16,"[315.0, 340.0, 343.0, 1756.0, 1757.0, 1758.0, 1759.0, 1760.0, 1761.0, 1768.0, 1769.0, 1770.0, 1771.0, 1772.0, 1773.0, 1774.0, 1775.0, 1776.0, 1777.0, 1778.0, 1779.0, 1782.0, 1783.0, 1784.0, 1785.0, 1786.0, 1787.0, 1788.0, 1789.0, 1790.0, 1791.0, 1792.0, 1793.0, 1794.0]"
17,[]
18,[]
19,[]
20,[]
21,[]
22,[]
23,[]
24,"[256.0, 313.0, 355.0, 662.0]"
25,[]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[]
32,"[272.0, 289.0, 306.0, 315.0, 340.0, 341.0, 343.0, 590.0, 1030.0, 1031.0, 1757.0, 1758.0, 1759.0, 1769.0, 1770.0, 1771.0, 1772.0, 1773.0, 1774.0, 1775.0, 1776.0, 1777.0, 1778.0, 1779.0, 1784.0, 1785.0, 1786.0, 1787.0, 1788.0, 1789.0, 1790.0, 1791.0, 1792.0, 1793.0, 1794.0]"
33,[]
34,"[1394.0, 1395.0, 1757.0, 1758.0, 1759.0, 1769.0, 1770.0, 1771.0, 1772.0, 1773.0, 1774.0, 1775.0, 1776.0, 1777.0, 1784.0, 1785.0, 1786.0, 1787.0, 1788.0, 1789.0, 1790.0, 1791.0, 1792.0]"
35,"[256.0, 313.0, 355.0]"
36,[]
37,[]
38,[]
39,[]
40,"[243.0, 257.0, 261.0, 262.0, 263.0, 271.0, 285.0, 299.0, 319.0, 340.0, 341.0, 355.0, 568.0, 569.0, 577.0, 578.0, 579.0, 580.0, 581.0, 583.0, 591.0, 592.0, 594.0, 1770.0, 1771.0, 1772.0, 1773.0, 1774.0, 1783.0, 1784.0, 1785.0, 1786.0, 1787.0, 1788.0, 1789.0, 1790.0, 1791.0]"
41,[]
42,[]
43,[]
44,[]
45,[]
46,"[315.0, 340.0, 590.0, 591.0, 1773.0, 1774.0, 1775.0, 1776.0]"
47,[]
48,[]
49,[]
50,[]
51,[]
52,[]
53,[]
54,[]
55,[]
56,"[261.0, 262.0, 263.0, 285.0, 299.0, 569.0, 577.0, 579.0, 581.0, 582.0, 583.0, 591.0, 592.0, 594.0]"
57,"[243.0, 257.0, 261.0, 262.0, 263.0, 285.0, 293.0, 319.0, 416.0, 568.0, 569.0, 570.0, 577.0, 581.0, 582.0, 583.0, 584.0, 585.0, 591.0, 592.0]"
58,"[243.0, 257.0, 261.0, 263.0, 285.0, 299.0, 313.0, 319.0, 340.0, 568.0, 569.0, 575.0, 577.0, 578.0, 579.0, 581.0, 582.0, 583.0, 590.0, 591.0, 592.0, 594.0, 629.0, 630.0]"
59,"[261.0, 285.0]"
60,[]
61,"[256.0, 313.0, 340.0, 355.0, 662.0]"
62,"[261.0, 285.0, 286.0, 293.0, 294.0, 294.0, 299.0, 416.0, 591.0, 592.0, 629.0, 630.0]"
63,[]
64,[]
65,"[286.0, 293.0, 294.0, 294.0, 295.0, 295.0, 417.0, 479.0]"
66,[]
67,"[243.0, 257.0, 261.0, 262.0, 263.0, 285.0, 299.0, 319.0, 340.0, 568.0, 569.0, 570.0, 577.0, 578.0, 579.0, 581.0, 582.0, 583.0, 584.0, 585.0, 591.0, 592.0, 594.0]"
68,[]
69,[]
70,[]
71,[]
72,[]
73,[]
74,[]
75,[]
76,[]
77,[]
78,[]
79,[]
80,[]
81,"[285.0, 286.0, 293.0, 294.0, 295.0, 340.0, 591.0, 602.0, 612.0, 629.0, 630.0, 631.0]"
82,[]
83,[]
84,[]
85,[]
86,[]
87,[]
88,[]
89,[]
90,[]
91,[]
92,[]
93,[]
94,[]
95,[]
