   Current data set:
   NAME =	CMM3-062A	EXPNO =	1	PROCNO = 1
   DU   =	Z:/group/Cat MacGregor/Data/CARBOXYLATE EXPLORATION/Hydrothermal Test Reactions

   Number   Integrated Region     Integral
     1      8.988      8.964         0.00694
     2      8.964      8.947         0.00288
     3      8.940      8.903         0.00872
     4      8.612      8.562         0.00872
     5      8.560      8.520         0.01220
     6      8.127      8.077         0.01296
     7      7.882      7.834         0.00319
     8      7.683      7.631         0.00744
     9      7.469      7.421         0.00899
    10      7.137      7.106         0.00426
    11      6.853      6.816         0.00564
    12      6.459      6.424         0.00307
    13      6.306      6.280         0.00275
    14      4.925      4.814        22.34456
    15      3.331      3.293         4.47705
    16      3.293      3.272         0.14932
    17      2.506      2.484         1.36380
    18      2.312      2.298         1.28270
    19      2.298      2.279         1.46116
    20      2.212      2.198         1.00000
    21      1.952      1.931         2.01526
