,V_Co3O(OH),V_Co3O,V_Co4O4,V_Ce,V_Dy,V_Yb,V_OA,V_SA,V_TMTACN,V_MeOH,AMF,AMF_rt,AMF_50,AMF_ST
CCE_1_0,1.28,2.24,0.50,0.00,0.00,0.44,0.00,0.59,0.00,2.46,0.16,0.14,0.19,0.51
CCE_1_1,2.31,0.60,0.35,0.00,0.62,0.00,0.00,0.62,0.00,3.01,0.22,0.22,0.22,0.51
CCE_1_2,0.90,2.96,1.25,1.65,0.00,0.00,0.00,0.00,0.71,0.04,0.21,0.19,0.22,0.52
CCE_1_3,2.17,1.77,1.73,0.00,0.00,0.00,0.00,0.24,0.00,1.60,0.23,0.18,0.20,0.56
CCE_1_4,2.94,0.26,1.31,0.00,0.00,1.58,0.00,0.00,0.00,1.41,0.25,0.22,0.22,0.51
CCE_1_5,0.29,2.72,1.57,0.00,0.00,0.00,0.00,0.00,0.82,2.10,0.35,0.33,0.29,0.53
CCE_1_6,1.75,0.80,1.17,0.00,0.00,0.00,0.00,0.00,0.42,3.36,0.19,0.17,0.19,0.53
CCE_1_7,1.00,0.38,1.32,0.86,0.00,0.00,0.00,0.00,0.00,3.95,0.30,0.24,0.26,0.54
CCE_1_8,1.04,0.88,2.10,0.00,0.00,0.00,0.00,1.26,0.00,2.23,0.23,0.21,0.23,0.51
CCE_1_9,1.81,1.68,1.16,0.23,0.00,0.00,0.95,0.00,0.00,1.68,0.15,0.14,0.17,0.51
CCE_1_10,1.31,0.97,0.97,0.00,0.00,0.44,0.00,0.65,0.00,3.17,0.15,0.14,0.15,0.53
CCE_1_11,2.93,1.84,0.35,0.00,0.00,0.53,0.00,0.00,0.00,1.85,0.21,0.19,0.22,0.52
CCE_1_12,2.18,0.43,1.33,0.47,0.00,0.00,0.00,0.95,0.00,2.15,0.23,0.21,0.22,0.51
CCE_1_13,0.22,1.12,1.52,0.00,0.58,0.00,0.00,0.00,0.68,3.40,0.27,0.25,0.25,0.52
CCE_1_14,1.62,2.63,2.25,0.00,0.00,0.00,0.00,0.00,0.27,0.74,0.42,0.38,0.40,0.55
CCE_1_15,0.03,2.46,0.14,0.00,0.00,0.00,0.00,0.00,0.00,4.88,0.33,0.31,0.32,0.53
CCE_1_16,1.75,1.00,0.54,0.90,0.00,0.00,0.00,0.00,0.00,3.32,0.23,0.19,0.22,0.52
CCE_1_17,0.35,1.19,1.32,0.00,0.00,0.45,0.00,0.00,0.47,3.71,0.23,0.23,0.21,0.53
CCE_1_18,1.88,1.88,1.48,0.00,0.00,0.88,0.35,0.00,0.00,1.06,0.14,0.15,0.14,0.52
CCE_1_19,0.11,1.11,1.97,1.27,0.00,0.00,0.00,0.52,0.00,2.54,0.46,0.37,0.40,0.53
CCE_1_20,1.78,2.44,1.53,0.00,0.00,1.01,0.00,0.00,0.23,0.51,0.17,0.14,0.16,0.55
CCE_1_21,0.20,1.13,1.67,0.00,0.68,0.00,0.00,1.76,0.00,2.07,0.35,0.27,0.31,0.58
CCE_1_22,0.62,1.51,0.17,0.00,0.00,0.36,0.00,0.00,1.76,3.08,0.42,0.33,0.40,0.55
CCE_1_23,0.61,1.31,1.52,0.17,0.00,0.00,0.00,0.00,0.00,3.90,0.24,0.23,0.19,0.52
CCE_1_24,2.24,1.52,1.07,0.79,0.00,0.00,0.00,0.00,0.29,1.61,0.16,0.14,0.18,0.52
