NAME,Co3O(OH),Co3O,Co4O4,T1,rT1,T2,rT2,V_TOT,strategy
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA,DATA,METADATA
0,0.552083333,0.96875,0.21875,Yb,0.192708333,SA,0.255208333,5.039063,LHS
1,0.760416667,0.197916667,0.114583333,Dy,0.203125,SA,0.203125,4.492187,LHS
2,0.21875,0.71875,0.302083333,Ce,0.401041667,TMTACN,0.171875,7.460938,LHS
3,0.90625,0.739583333,0.71875,MeOH,0.161458333,SA,0.098958333,6.289063,LHS
4,0.822916667,0.072916667,0.364583333,Yb,0.442708333,MeOH,0.078125,6.367187,LHS
5,0.09375,0.885416667,0.510416667,MeOH,0.390625,TMTACN,0.265625,6.601562,LHS
6,0.885416667,0.40625,0.59375,MeOH,0.338541667,TMTACN,0.213541667,4.804688,LHS
7,0.572916667,0.21875,0.760416667,Ce,0.494791667,MeOH,0.223958333,3.945313,LHS
8,0.40625,0.34375,0.822916667,MeOH,0.276041667,SA,0.494791667,5.976563,LHS
9,0.864583333,0.802083333,0.552083333,Ce,0.109375,OA,0.453125,5.820313,LHS
10,0.71875,0.53125,0.53125,Yb,0.244791667,SA,0.359375,4.335938,LHS
11,0.78125,0.489583333,0.09375,Yb,0.140625,MeOH,0.317708333,6.835937,LHS
12,0.802083333,0.15625,0.489583333,Ce,0.171875,SA,0.348958333,5.351563,LHS
13,0.135416667,0.697916667,0.947916667,Dy,0.359375,TMTACN,0.421875,4.101563,LHS
14,0.53125,0.864583333,0.739583333,MeOH,0.151041667,TMTACN,0.088541667,7.226563,LHS
15,0.010416667,0.90625,0.052083333,MeOH,0.088541667,MeOH,0.484375,4.179688,LHS
16,0.635416667,0.364583333,0.197916667,Ce,0.328125,MeOH,0.338541667,5.117188,LHS
17,0.177083333,0.59375,0.65625,Yb,0.223958333,TMTACN,0.234375,3.789062,LHS
18,0.989583333,0.989583333,0.78125,Yb,0.463541667,OA,0.182291667,6.445313,LHS
19,0.03125,0.322916667,0.572916667,Ce,0.369791667,SA,0.151041667,4.960937,LHS
20,0.447916667,0.614583333,0.385416667,Yb,0.255208333,TMTACN,0.057291667,6.992188,LHS
21,0.052083333,0.302083333,0.447916667,Dy,0.182291667,SA,0.473958333,5.429687,LHS
22,0.114583333,0.28125,0.03125,Yb,0.067708333,TMTACN,0.328125,4.414063,LHS
23,0.364583333,0.78125,0.90625,Ce,0.098958333,MeOH,0.390625,4.257812,LHS
24,0.84375,0.572916667,0.40625,Ce,0.296875,TMTACN,0.109375,5.898437,LHS
25,0.34375,0.46875,0.885416667,Dy,0.234375,SA,0.432291667,4.882813,LHS
26,0.260416667,0.114583333,0.34375,MeOH,0.265625,OA,0.046875,6.054688,LHS
27,0.65625,0.447916667,0.177083333,MeOH,0.411458333,MeOH,0.036458333,7.382813,LHS
28,0.385416667,0.03125,0.072916667,MeOH,0.005208333,OA,0.119791667,3.867188,LHS
29,0.59375,0.427083333,0.010416667,MeOH,0.119791667,TMTACN,0.286458333,5.585938,LHS
30,0.302083333,0.822916667,0.260416667,Ce,0.015625,MeOH,0.380208333,4.023437,LHS
31,0.28125,0.010416667,0.135416667,Yb,0.130208333,TMTACN,0.015625,5.273438,LHS
32,0.322916667,0.635416667,0.96875,Yb,0.078125,MeOH,0.161458333,4.726562,LHS
33,0.697916667,0.385416667,0.635416667,Dy,0.213541667,SA,0.067708333,4.648438,LHS
34,0.197916667,0.135416667,0.864583333,Yb,0.046875,SA,0.463541667,6.914063,LHS
35,0.489583333,0.052083333,0.239583333,MeOH,0.473958333,TMTACN,0.192708333,7.070312,LHS
36,0.46875,0.552083333,0.15625,Dy,0.484375,MeOH,0.442708333,7.304687,LHS
37,0.072916667,0.760416667,0.802083333,Ce,0.380208333,OA,0.005208333,5.507813,LHS
38,0.96875,0.260416667,0.427083333,Yb,0.432291667,SA,0.140625,7.148438,LHS
39,0.947916667,0.947916667,0.989583333,Yb,0.036458333,TMTACN,0.296875,6.679688,LHS
40,0.15625,0.239583333,0.697916667,Dy,0.421875,OA,0.369791667,5.742188,LHS
41,0.510416667,0.177083333,0.677083333,MeOH,0.286458333,MeOH,0.026041667,4.570313,LHS
42,0.677083333,0.84375,0.927083333,MeOH,0.057291667,OA,0.276041667,5.195312,LHS
43,0.614583333,0.09375,0.84375,Ce,0.348958333,TMTACN,0.411458333,6.523438,LHS
44,0.739583333,0.677083333,0.322916667,Dy,0.453125,TMTACN,0.244791667,5.664062,LHS
45,0.427083333,0.927083333,0.46875,Yb,0.026041667,OA,0.401041667,6.757813,LHS
46,0.927083333,0.65625,0.28125,Ce,0.317708333,MeOH,0.307291667,6.210938,LHS
47,0.239583333,0.510416667,0.614583333,MeOH,0.307291667,SA,0.130208333,6.132812,LHS
