,Co3O(OH),Co3O,Co4O4,T1,rT1,T2,rT2,V_TOT
0,0,0,1,Yb,0.5,TMTACN,0.5,3.75
1,0.383460371,0,1,Yb,0.420709794,MeOH,0.5,7.5
2,0,0.198939504,0.864196945,MeOH,0.148048248,TMTACN,0.300766349,7.5
3,0.230787986,0,0,Yb,0.459367819,TMTACN,0.5,7.5
4,0,0,0.227755571,MeOH,0,TMTACN,0.5,5.188122865
5,0.551851657,0.147187409,0.171452968,MeOH,0,TMTACN,0.5,7.5
6,0,0.250173594,0,Dy,0.244307109,TMTACN,0.086184085,3.75
7,0.163630444,0.364007082,0.987815234,MeOH,0,TMTACN,0.5,6.193761577
8,0.302952152,0,1,MeOH,0.372118275,SA,0.322627583,6.32476857
9,0.123481071,0.156676162,0.381323986,Yb,0.307733275,TMTACN,0.453402668,5.983631483
10,0.187693857,0.19293458,0.690521498,Yb,0.026998334,MeOH,0.157252256,5.403307693
11,0.475448048,0.091273103,0.771777195,MeOH,0.431997976,SA,0.485378109,6.982629313
12,0,0,0.356389742,Ce,0.5,SA,0.5,3.75
13,1,0,0.13670709,Yb,0,TMTACN,0.5,4.501129092
14,0.276789728,0.972739031,0.075295194,Yb,0.45856018,TMTACN,0.493771988,4.433999587
15,0.441011041,0,0.196370405,Yb,0.341052909,MeOH,0.043616297,4.398555429
16,0.431503842,0,0.352814381,Yb,0.229244476,OA,0.207147415,6.938635424
17,0.370971936,0.186954472,0.495039453,Yb,0.33412979,OA,0.045590606,6.878351695
18,0.903813826,0.284313084,0.024560624,Ce,0.227788674,MeOH,0.17829215,7.16868086
19,0.753149427,0.140775793,0.41121943,Yb,0.018883927,MeOH,0.46948214,6.930621859
20,0.41676006,0.569550044,0.331344584,Yb,0.030582587,SA,0.323201139,4.436872739
21,0.984040835,0.232703799,1,Yb,0.117522673,OA,0.5,4.796059425
22,0.788348371,0.10809087,0.244887474,Yb,0.292224909,SA,0.45783641,5.63209604
23,0.39253238,0.330601678,1,Yb,0.345011202,SA,0.5,4.724962555
24,0.389354281,0.365237108,0.190468708,Yb,0.23176368,OA,0.333945235,5.233588185
25,0.301971009,0.103270834,0.833150662,Ce,0.38121576,SA,0.410649026,6.556592579
26,0,0.794260456,0.498845096,Yb,0.28236216,OA,0.46844493,4.498458023
27,0.262804553,0.858573534,0.691596847,MeOH,0.344332231,OA,0.088007433,7.175657618
28,0.80569946,0.063064949,0.327458242,MeOH,0.381155612,TMTACN,0.193122316,7.027840939
29,0.355483519,0.084433432,0.541410277,Ce,0.431016251,TMTACN,0.412250325,6.49099407
30,0,0.961409708,0.075777627,Yb,0.310069557,OA,0.323488576,6.448201544
31,0.373943236,0.049819498,0.256074273,Yb,0.063830497,SA,0.463848961,4.010311688
32,0.021967969,0.251956482,0.519028463,MeOH,0.052960987,OA,0.448503658,4.900510817
33,0.513710163,0.031927694,0.971283332,Yb,0.042352079,OA,0.179583434,6.653970511
34,0.169972443,0.1501281,0,Yb,0.006875611,SA,0.161688184,5.319402596
35,0.18085509,0.084242784,0.045285007,Yb,0.461288034,SA,0.334717272,4.600676805
36,0.209581711,0.994197787,0.376665908,Yb,0,MeOH,0.421427833,6.912665961
37,0.246282877,0.283055524,0.415473044,Yb,0.197505155,OA,0.457821686,7.173286581
38,0.056925923,0.005832416,0.664663947,Ce,0,TMTACN,0.5,6.842642731
39,0.19923142,0.249308679,0.246555995,Yb,0.336879051,TMTACN,0.324778455,6.018764488
40,0.098659206,0.643464893,0.160681291,Ce,0.041710896,MeOH,0.5,6.379900295
41,0.824751171,0.119022832,0.081125862,MeOH,0.072257958,OA,0.163873082,5.433906949
42,0.418485798,0.131281019,0.142241987,Yb,0.433945283,TMTACN,0.458982278,6.90124176
43,0.417182529,0.756346526,0.232755329,MeOH,0.060445764,TMTACN,0.320860071,6.637528704
44,0.420949866,0.736008342,0.656330116,Yb,0.072951148,TMTACN,0.323475167,5.909671252
45,0.9714589,0.18829854,0.937083485,Dy,0.047461752,SA,0.5,5.709115856
46,0.21933606,0.59184696,0.045259977,Dy,0.071151831,TMTACN,0.0002222,5.501876304
47,0.184181601,0.093148427,0.759139631,Dy,0.079515864,TMTACN,0.5,6.183998362
