Reaction ID,pump1,pump2,pump3,pump4,pump5,pump6,pump7,pump8,pump9,pump10
prime1,1,1,1,1,1,1,1,1,1,1
prime2,1,1,1,1,1,1,1,1,1,1
CCE_3_0,0.49,1.4,1.9,0,0,0,1.04,0,0,2.68
CCE_3_1,0.28,1.74,1.49,0,0,0,0,1.22,0,2.77
CCE_3_2,2.53,1.79,1.69,0,0,1.18,0,0.07,0,0.23
CCE_3_3,1.39,1.12,1.28,0,0.71,0,0,0,0,2.99
CCE_3_4,0.51,2.41,1.89,0.48,0,0,0,0.79,0,1.42
CCE_3_5,0.34,0.77,1.61,0,0,0,0.46,0,0,4.32
CCE_3_6,3.18,0.57,0.4,0,0,0,2.17,0,0,1.17
CCE_3_7,0.59,0.8,2.53,0.59,0,0,0,0,0,3
CCE_3_8,0.07,0.62,0.95,0,0,0,0,0,0,5.86
CCE_3_9,1.54,1.2,1.94,0,0,0,0.62,0,0,2.2
CCE_3_10,2.84,0.44,0.26,0,0.52,0,0,0,0,3.43
CCE_3_11,2.82,2.69,0,0,0,0.08,0,0,0,1.9
CCE_3_12,0.36,0.93,2.38,0.54,0,0,1.57,0,0,1.73
CCE_3_13,2.19,1.89,0.02,0.86,0,0,0,0.97,0,1.57
CCE_3_14,1.4,2.22,0.4,0,1.1,0,0,1.5,0,0.88
CCE_3_15,0.08,0.19,2.72,2.53,0,0,0,1.81,0,0.17
CCE_3_16,2.07,0.21,0.41,0,0,0,0,0.91,0,3.89
CCE_3_17,0.27,3.66,1.33,0,0,0,0,0,0,2.24
CCE_3_18,1.17,1.48,1.27,0,0,0.5,1.28,0,0,1.8
CCE_3_19,2.43,3.06,0.96,0,0,0.02,0.1,0,0,0.93
CCE_3_20,2.66,1,2.03,0,1.12,0,0.17,0,0,0.52
CCE_3_21,1.67,0.85,1.05,0,0.52,0,0.11,0,0,3.29
CCE_3_22,1.74,0.66,1.1,0,0.99,0,0,0,2.22,0.79
CCE_3_23,1.83,0.47,0.95,0,0,1.53,0,0.17,0,2.55
CCE_3_24,1.86,0.58,1.8,0.35,0,0,0,0,0.95,1.97
CCE_3_25,0.65,0.57,1.48,0,0,0.86,0.31,0,0,3.62
CCE_3_26,2.27,2.05,0.72,0,0.8,0,0,0,1.47,0.18
CCE_3_27,0.74,1.22,1.82,0,0,0,0,0,0.45,3.27
CCE_3_28,0.63,1.25,1.85,0,0,0.44,0.3,0,0,3.03
CCE_3_29,1.45,1.94,0.97,0,0,0.24,1.04,0,0,1.87
CCE_3_30,0.76,2.52,0.13,0,1.07,0,1.09,0,0,1.93
CCE_3_31,0.23,2.99,0.98,1.06,0,0,0,0,1.33,0.91
CCE_3_32,0.98,0.47,1.56,0,0,0.74,0,0,0.91,2.85
CCE_3_33,1.58,0.37,1.97,0,0,0.92,0,0,0.7,1.97
CCE_3_34,1.54,1.86,0.47,0,0,0,0.79,0,0,2.84
CCE_3_35,0.29,2.6,0.39,0,0,2.67,0,0,0.57,0.98
CCE_3_36,0.07,1.11,1.68,0,0.41,0,0.89,0,0,3.33
CCE_3_37,0.99,1.05,1.5,0,0,0,0,0,1.03,2.94
CCE_3_38,1.42,1.44,2.49,0,0,0.69,0,0.73,0,0.72
CCE_3_39,1.52,1.04,1.61,0,0,0,0,0,0.4,2.93
CCE_3_40,0.86,1.84,2,0.88,0,0,0,0,0.64,1.29
CCE_3_41,0.6,1.97,0.56,0,0,0,0,1.11,0,3.26
CCE_3_42,0.87,0.61,3.21,0,0,0,0,0,0.9,1.91
CCE_3_43,0.88,1.42,0.61,0,1.26,0,0,0,0.84,2.49
CCE_3_44,1.13,2.37,1.13,0.81,0,0,0,0.52,0,1.54
CCE_3_45,0.06,3.34,0.11,0,0,1.19,1.17,0,0,1.63
CCE_3_46,1.11,1.19,1.78,0,0,0,0,0,0,3.42
CCE_3_47,1.1,1.16,0.86,0,0,0,0.25,0,0,4.14
