,CCE1_%Diff,CCE1_Unique,CCE1_Score,CCE2_%Diff,CCE2_Unique,CCE2_Score,CCE3_%Diff,CCE3_Unique,CCE3_Score,CCE4_%Diff,CCE4_Unique,CCE4_Score
0,0.134342,0.102021,0.118182,0.215321,0.015228,0.115275,0.215321,0.053427,0.134374,0.31689125,0.053427222,0.185159236
1,0.337956,0.07779,0.207873,0.340696,0.005231,0.172964,0.340696,0.020696,0.180696,0.426037095,0.020312763,0.223174929
2,0.350597,0.043418,0.197007,0.348479,0.003901,0.17619,0.348479,0.013748,0.181114,0.432813021,0.012431717,0.222622369
3,0.198615,0.101038,0.149826,0.254897,0.015388,0.135143,0.254897,0.052892,0.153895,0.351344085,0.052892415,0.20211825
4,0.151764,0.414235,0.282999,0.226049,0.049619,0.137834,0.226049,0.106637,0.166343,0.32623005,0.105742068,0.215986059
5,0.555724,0.170404,0.363064,0.474785,0.015198,0.244992,0.474785,0.041881,0.258333,0.542769937,0.036845107,0.289807522
6,0.211332,0.082436,0.146884,0.262727,0.008438,0.135583,0.262727,0.023255,0.142991,0.358160834,0.021409117,0.189784976
7,0.184211,0.335031,0.259621,0.246027,0.049826,0.147927,0.246027,0.174728,0.210378,0.343622832,0.174727937,0.259175385
8,0.231473,0.207432,0.219452,0.275129,0.0272,0.151164,0.275129,0.093259,0.184194,0.368957367,0.093259001,0.231108184
9,0.179006,0,0.089503,0.242823,0,0.121412,0.242823,0.002139,0.122481,0.340833151,0.002139228,0.17148619
10,0.08177,0.013483,0.047627,0.18295,0.000835,0.091893,0.18295,0.00615,0.09455,0.288710023,0.006150281,0.147430152
11,0.326305,0.025983,0.176144,0.333521,0.002567,0.168044,0.333521,0.011712,0.172617,0.41979135,0.011712274,0.215751812
12,0.275359,0.225975,0.250667,0.302152,0.014113,0.158132,0.302152,0.0525,0.177326,0.39248206,0.052500223,0.222491142
13,0.367354,0.273987,0.320671,0.358797,0.026481,0.192639,0.358797,0.078874,0.218836,0.441795435,0.065644465,0.25371995
14,1,0.038861,0.519431,0.748347,0.004093,0.37622,0.748347,0.014051,0.381199,0.780921528,0.013173089,0.397047309
15,0.711518,0.015813,0.363666,0.570716,0.001882,0.286299,0.570716,0.00852,0.289618,0.62628281,0.00813699,0.3172099
16,0.191638,0.14862,0.170129,0.250601,0.025147,0.137874,0.250601,0.090221,0.170411,0.3476043,0.089837676,0.218720988
17,0.271196,0.150034,0.210615,0.299588,0.01254,0.156064,0.299588,0.03418,0.166884,0.390250602,0.029143885,0.209697244
18,0.049287,0.013483,0.031385,0.162949,0.001571,0.08226,0.162949,0.008236,0.085592,0.271298067,0.008236028,0.139767048
19,0.482688,0.473047,0.477867,0.429814,0.084576,0.257195,0.429814,0.29604,0.362927,0.503619441,0.296039997,0.399829719
20,0.113884,0.019807,0.066846,0.202724,0.00209,0.102407,0.202724,0.008953,0.105839,0.305924516,0.008458864,0.15719169
21,0.439976,0.328575,0.384275,0.403514,0.042604,0.223059,0.403514,0.142526,0.27302,0.480724049,0.142526072,0.31162506
22,0.586469,1,0.793235,0.493717,0.081345,0.287531,0.493717,0.262582,0.378149,0.559251036,0.240931961,0.400091498
23,0.164705,0.140733,0.152719,0.234017,0.01858,0.126298,0.234017,0.052984,0.1435,0.333166781,0.052984096,0.193075438
24,0.180491,0.047642,0.114067,0.243737,0.006477,0.125107,0.243737,0.019792,0.131765,0.341629153,0.01929762,0.180463386
25,0.153377,0.051709,0.102543,0.227042,0.003355,0.115198,0.227042,0.012503,0.119772,0.327094558,0.01250314,0.169798849
26,0.095265,0.153233,0.124249,0.191259,0.019576,0.105418,0.191259,0.05646,0.12386,0.295944072,0.056460342,0.176202207
27,0.201599,0.03611,0.118854,0.256734,0.006158,0.131446,0.256734,0.019289,0.138011,0.352943577,0.019288707,0.186116142
28,0.588231,0.021353,0.304792,0.494802,0.001762,0.248282,0.494802,0.00829,0.251546,0.560195593,0.008289509,0.284242551
29,0.409142,0.25628,0.332711,0.384528,0.025153,0.204841,0.384528,0.077122,0.230825,0.464195744,0.063906342,0.264051043
30,0.307246,0.065622,0.186434,0.321786,0.01169,0.166738,0.321786,0.042464,0.182125,0.40957533,0.042463678,0.226019504
31,0.324168,0.14862,0.236394,0.332206,0.007574,0.16989,0.332206,0.029387,0.180796,0.418646226,0.028492165,0.223569195
32,0.203054,0.13188,0.167467,0.25763,0.017814,0.137722,0.25763,0.05031,0.15397,0.353723701,0.050310061,0.202016881
33,0.069279,0.044963,0.057121,0.175259,0.006188,0.090723,0.175259,0.019877,0.097568,0.282014494,0.019876994,0.150945744
34,0.529326,0.326177,0.427752,0.458531,0.038153,0.248342,0.458531,0.124545,0.291538,0.52861968,0.124545211,0.326582445
35,0.405192,0.281857,0.343525,0.382096,0.020105,0.2011,0.382096,0.054431,0.218263,0.462078423,0.046926219,0.254502321
36,0.572644,0.715264,0.643954,0.485204,0.070511,0.277858,0.485204,0.102912,0.294058,0.551839997,0.102528732,0.327184364
37,0.539549,0.62805,0.5838,0.464826,0.082546,0.273686,0.464826,0.274454,0.36964,0.534099933,0.274454167,0.40427705
38,0.150676,0.14862,0.149648,0.225378,0.006468,0.115923,0.225378,0.025524,0.125451,0.325646661,0.024629669,0.175138165
39,0.537785,0.109692,0.323738,0.46374,0.011215,0.237477,0.46374,0.030937,0.247338,0.533153901,0.028269928,0.280711914
40,0.392597,0.881306,0.636951,0.374341,0.07019,0.222266,0.374341,0.225395,0.299868,0.455327103,0.225394536,0.340360819
41,0.104416,0.224063,0.16424,0.196894,0.032853,0.114873,0.196894,0.10281,0.149852,0.300849245,0.102810284,0.201829764
42,0,0.120769,0.060384,0.1326,0.01512,0.07386,0.1326,0.044285,0.088442,0.24487785,0.044284568,0.144581209
43,0.194403,0.662571,0.428487,0.252303,0.045766,0.149034,0.252303,0.13927,0.195787,0.349086086,0.122104806,0.235595446
44,0.197669,0.316643,0.257156,0.254315,0.010912,0.132613,0.254315,0.031874,0.143094,0.350837235,0.030101538,0.190469386
45,0.22466,0.437482,0.331071,0.270934,0.04366,0.157297,0.270934,0.154069,0.212502,0.365305215,0.154069459,0.259687337
46,0.149593,0.115794,0.132693,0.224712,0.020201,0.122456,0.224712,0.068313,0.146512,0.325066148,0.068312684,0.196689416
47,0.180835,0.131394,0.156114,0.243949,0.019372,0.13166,0.243949,0.062162,0.153056,0.341813303,0.062162403,0.201987853
48,,,,0.417639,0.233798,0.325719,0.417639,0.557524,0.487582,0.493021097,0.541963251,0.517492174
49,,,,0.277316,0.054258,0.165787,0.277316,0.164753,0.221035,0.370861021,0.164753362,0.267807191
50,,,,0.992252,0.084823,0.538538,0.992252,0.273547,0.6329,0.993255196,0.269063361,0.631159278
51,,,,0,0.084823,0.042411,0,0.273547,0.136774,0.129441503,0.269063361,0.199252432
52,,,,1,1,1,1,0,0.5,1,0,0.5
53,,,,0.503041,0.132899,0.31797,0.503041,0.431734,0.467387,0.567367721,0.325698417,0.446533069
54,,,,0.371998,0.2541,0.313049,0.371998,0.780898,0.576448,0.453287654,0.777154607,0.615221131
55,,,,0.638719,0.091272,0.364996,0.638719,0.256058,0.447389,0.685484189,0.231902295,0.458693242
56,,,,0.284354,0.08154,0.182947,0.284354,0.26967,0.277012,0.376988327,0.269175327,0.323081827
57,,,,0.564913,0.060646,0.312779,0.564913,0.145476,0.355194,0.621230951,0.136283307,0.378757129
58,,,,0.540734,0.200806,0.37077,0.540734,0.662346,0.60154,0.60018166,0.661851017,0.631016339
59,,,,0.473139,0.024933,0.249036,0.473139,0.087831,0.280485,0.541337007,0.087831178,0.314584092
60,,,,0.633661,0.185952,0.409806,0.633661,0.612978,0.62332,0.681080606,0.612977984,0.647029295
61,,,,0.22473,0.045117,0.134923,0.22473,0.138099,0.181414,0.325081978,0.126621726,0.225851852
62,,,,0.497338,0.043944,0.270641,0.497338,0.12695,0.312144,0.562403612,0.118984453,0.340694033
63,,,,0.179461,0.043998,0.11173,0.179461,0.124892,0.152177,0.285673145,0.124381083,0.205027114
64,,,,0.112244,0.016058,0.064151,0.112244,0.056907,0.084575,0.227156235,0.056395766,0.141776001
65,,,,0.351596,0.016058,0.183827,0.351596,0.056907,0.204251,0.435525983,0.056395766,0.245960875
66,,,,0.393346,0.005953,0.19965,0.393346,0.024527,0.208937,0.471872579,0.024015632,0.247944105
67,,,,0.31745,0.051922,0.184686,0.31745,0.182046,0.249748,0.405800609,0.182046349,0.293923479
68,,,,0.316941,0.00426,0.1606,0.316941,0.018104,0.167522,0.40535744,0.018103687,0.211730564
69,,,,0.410474,0.011758,0.211116,0.410474,0.038362,0.224418,0.48678304,0.038361529,0.262572284
70,,,,0.381369,0.006719,0.194044,0.381369,0.027201,0.204285,0.461445225,0.026689667,0.244067446
71,,,,0.403586,0.003756,0.203671,0.403586,0.014999,0.209293,0.480786858,0.014998906,0.247892882
72,,,,0.223135,0.010038,0.116587,0.223135,0.038788,0.130962,0.323693596,0.038277152,0.180985374
73,,,,0.477175,0.038767,0.257971,0.477175,0.099091,0.288133,0.544850085,0.099090944,0.321970514
74,,,,0.43038,0.005223,0.217802,0.43038,0.020629,0.225505,0.504112611,0.020118023,0.262115317
75,,,,0.239705,0.028325,0.134015,0.239705,0.099187,0.169446,0.338118345,0.099186914,0.21865263
76,,,,0.24869,0.030499,0.139595,0.24869,0.091876,0.170283,0.345940927,0.084416268,0.215178598
77,,,,0.481333,0.129586,0.305459,0.481333,0.427967,0.45465,0.548469854,0.413929048,0.481199451
78,,,,0.521739,0.006127,0.263933,0.521739,0.024652,0.273195,0.583645946,0.02414042,0.303893183
79,,,,0.322977,0.055272,0.189125,0.322977,0.196185,0.259581,0.410611876,0.196185043,0.30339846
80,,,,0.460601,0.116989,0.288795,0.460601,0.399038,0.42982,0.530421867,0.399037932,0.4647299
81,,,,0.366343,0.080405,0.223374,0.366343,0.256372,0.311357,0.448364356,0.256371792,0.352368074
82,,,,0.07986,0.286243,0.183052,0.07986,1,0.53993,0.198964672,1,0.599482336
83,,,,0.602997,0.112216,0.357606,0.602997,0.341198,0.472098,0.654385575,0.340814972,0.497600274
84,,,,0.339024,0.010732,0.174878,0.339024,0.037773,0.188398,0.424581344,0.037773241,0.231177292
85,,,,0.258553,0.011082,0.134817,0.258553,0.032498,0.145526,0.354527219,0.031986803,0.193257011
86,,,,1,0.210419,0.60521,1,0.651184,0.825592,1,0.328136066,0.664068033
87,,,,0.455026,0.048612,0.251819,0.455026,0.12501,0.290018,0.525568514,0.116765995,0.321167254
88,,,,0.291094,0.005922,0.148508,0.291094,0.022329,0.156711,0.382856106,0.022328662,0.202592384
89,,,,0.363935,0.01029,0.187112,0.363935,0.03806,0.200998,0.446268014,0.038060433,0.242164224
90,,,,0.559943,0.055583,0.307763,0.559943,0.137756,0.34885,0.616904963,0.130776318,0.373840641
91,,,,0.318486,0.067748,0.193117,0.318486,0.224239,0.271362,0.406702015,0.147186799,0.276944407
92,,,,0.368575,0.02552,0.197048,0.368575,0.078468,0.223522,0.450307637,0.072249409,0.261278523
93,,,,0.41684,0.006013,0.211427,0.41684,0.021783,0.219311,0.492325216,0.021782511,0.257053863
94,,,,0.260722,0.008786,0.134754,0.260722,0.033931,0.147327,0.356415475,0.033419791,0.194917633
95,,,,0.711209,0.087319,0.399264,0.711209,0.251152,0.481181,0.748590722,0.227964511,0.488277617
96,,,,,,,0.401719,0.025555,0.213637,0.479161007,0.025554978,0.252357992
97,,,,,,,0.380837,0.006353,0.193595,0.460982108,0.006352859,0.233667484
98,,,,,,,0.253518,0.069525,0.161522,0.350144122,0.069524913,0.209834518
99,,,,,,,0.377238,0,0.188619,0.457848896,0,0.228924448
100,,,,,,,0.356239,0.01952,0.18788,0.439568366,0.019520456,0.229544411
101,,,,,,,0.439791,0.002139,0.220965,0.512305593,0.002139228,0.25722241
102,,,,,,,0.397162,0.025555,0.211359,0.475194285,0.025554978,0.250374632
103,,,,,,,0.36848,0.035487,0.201983,0.450224467,0.035487108,0.242855788
104,,,,,,,0.42887,0.15699,0.29293,0.502798243,0.156990171,0.329894207
105,,,,,,,0.215673,0.021341,0.118507,0.317197404,0.021341347,0.169269375
106,,,,,,,0.527014,0,0.263507,0.588238077,0,0.294119039
107,,,,,,,0.331665,0,0.165832,0.418175092,0,0.209087546
108,,,,,,,0.361827,0.049392,0.20561,0.444433149,0.049392091,0.24691262
