,CCE1_%Diff,CCE1_Unique,CCE1_Score,CCE2_%Diff,CCE2_Unique,CCE2_Score,CCE3_%Diff,CCE3_Unique,CCE3_Score,CCE4_%Diff,CCE4_Unique,CCE4_Score
0,1,0.019188,0.509594,1,0.02331,0.511655,1,0.015151,0.507575,1,0.014792276,0.507396138
1,1,0.070996,0.535498,1,0.042464,0.521232,1,0.023451,0.511725,1,0.023094833,0.511547417
2,1,0.173373,0.586686,1,0.068829,0.534414,1,0.036907,0.518453,1,0.034590962,0.517295481
3,1,0.48799,0.743995,1,0.185082,0.592541,1,0.115361,0.55768,1,0.113247672,0.556623836
4,1,0.090902,0.545451,1,0.045642,0.522821,1,0.027931,0.513966,1,0.027171253,0.513585627
5,1,0.164857,0.582428,1,0.074597,0.537299,1,0.054172,0.527086,1,0.051862604,0.525931302
6,1,0.200355,0.600177,1,0.091394,0.545697,1,0.069679,0.53484,1,0.067374836,0.533687418
7,1,0.211376,0.605688,1,0.104751,0.552375,1,0.080225,0.540113,1,0.079483894,0.539741947
8,1,0.035324,0.517662,1,0.030945,0.515473,1,0.022199,0.5111,1,0.02184329,0.510921645
9,1,0.04877,0.524385,1,0.037307,0.518654,1,0.028073,0.514037,1,0.027719136,0.513859568
10,1,0.143432,0.571716,1,0.082098,0.541049,1,0.069425,0.534712,1,0.069085089,0.534542544
11,1,0.13393,0.566965,1,0.065471,0.532736,1,0.042134,0.521067,1,0.041785337,0.520892668
12,1,0.019188,0.509594,1,0.02331,0.511655,1,0.015151,0.507575,1,0.014792276,0.507396138
13,1,0.129533,0.564766,1,0.058122,0.529061,1,0.041326,0.520663,1,0.039012117,0.519506059
14,1,1,1,1,0.205129,0.602564,1,0.111013,0.555507,1,0.10889847,0.554449235
15,1,0.124244,0.562122,1,0.073258,0.536629,1,0.063627,0.531814,1,0.063285617,0.531642808
16,1,0.12263,0.561315,1,0.06276,0.53138,1,0.041458,0.520729,1,0.040703313,0.520351657
17,1,0.165031,0.582515,1,0.074919,0.537459,1,0.056833,0.528417,1,0.05452435,0.527262175
18,1,0.13393,0.566965,1,0.065471,0.532736,1,0.042134,0.521067,1,0.041785337,0.520892668
19,1,0.140379,0.57019,1,0.076757,0.538378,1,0.066128,0.533064,1,0.065381864,0.532690932
20,1,0.431516,0.715758,1,0.162623,0.581312,1,0.107681,0.55384,1,0.105159121,0.55257956
21,1,0.354598,0.677299,1,0.180786,0.590393,1,0.163353,0.581677,1,0.162641098,0.581320549
22,1,0.739162,0.869581,1,0.12402,0.56201,1,0.10713,0.553565,1,0.103892644,0.551946322
23,1,0.086958,0.543479,1,0.051241,0.52562,1,0.040207,0.520104,1,0.03945177,0.519725885
24,1,0.110623,0.555312,1,0.049997,0.524998,1,0.032563,0.516282,1,0.031023484,0.515511742
25,1,0.035324,0.517662,1,0.030945,0.515473,1,0.022199,0.5111,1,0.02184329,0.510921645
26,1,0.035324,0.517662,1,0.030945,0.515473,1,0.022199,0.5111,1,0.02184329,0.510921645
27,1,0.359802,0.679901,1,0.158615,0.579307,1,0.105082,0.552541,1,0.102964942,0.551482471
28,1,0,0.5,1,0.01447,0.507235,1,0.009353,0.504677,1,0.008992804,0.504496402
29,1,0.148721,0.57436,1,0.066963,0.533481,1,0.047124,0.523562,1,0.044811589,0.522405795
30,1,0.054686,0.527343,1,0.040107,0.520053,1,0.030658,0.515329,1,0.030304508,0.515152254
