,CCE1_%Diff,CCE1_Unique,CCE1_Score,CCE2_%Diff,CCE2_Unique,CCE2_Score,CCE3_%Diff,CCE3_Unique,CCE3_Score,CCE4_%Diff,CCE4_Unique,CCE4_Score
0,0.131753,0.050147,0.09095,0.223004,0.021708,0.122356,0.223004,0.021756,0.12238,0.268776394,0.018022516,0.143399455
1,0.405801,0.087275,0.246538,0.390401,0.013736,0.202069,0.390401,0.013249,0.201825,0.421656726,0.014133429,0.217895078
2,0.318214,0.063839,0.191027,0.3369,0.018011,0.177456,0.3369,0.016763,0.176832,0.372795462,0.016145795,0.194470629
3,0.193651,0.171875,0.182763,0.260813,0.072702,0.166758,0.260813,0.072903,0.166858,0.303306732,0.056251603,0.179779168
4,0.168093,0.418892,0.293492,0.245202,0.140014,0.192608,0.245202,0.139804,0.192503,0.289048981,0.153209838,0.22112941
5,0.550155,0.478506,0.514331,0.478577,0.169625,0.324101,0.478577,0.159475,0.319026,0.502185929,0.16352235,0.33285414
6,0.18778,0.113561,0.150671,0.257228,0.034632,0.14593,0.257228,0.033555,0.145391,0.300031945,0.036015329,0.168023637
7,0.271574,0.342198,0.306886,0.308411,0.122396,0.215403,0.308411,0.122706,0.215559,0.346776981,0.137630596,0.242203788
8,0.353922,0.160846,0.257384,0.358712,0.055741,0.207226,0.358712,0.055555,0.207133,0.392715217,0.029950039,0.211332628
9,0.122197,0.032587,0.077392,0.217167,0.009486,0.113327,0.217167,0.009549,0.113358,0.263445621,0.010710373,0.137077997
10,0.136654,0.011447,0.074051,0.225998,0.004889,0.115444,0.225998,0.0049,0.115449,0.271510794,0.005495984,0.138503389
11,0.290018,0.08025,0.185134,0.319677,0.026091,0.172884,0.319677,0.026148,0.172913,0.357065816,0.02932854,0.193197178
12,0.199156,0.254094,0.226625,0.264176,0.107046,0.185611,0.264176,0.107281,0.185729,0.306377927,0.120329716,0.213353822
13,0.458015,0.285491,0.371753,0.422295,0.090453,0.256374,0.422295,0.066316,0.244305,0.450784503,0.055816652,0.253300578
14,1,0.031342,0.515671,0.753356,0.008687,0.381021,0.753356,0.007512,0.380434,0.753135762,0.006803966,0.379969864
15,0.747211,0,0.373606,0.598945,0.002554,0.300749,0.598945,0.00256,0.300752,0.612115243,0.002870843,0.307493043
16,0.113749,0.271426,0.192588,0.212007,0.114343,0.163175,0.212007,0.114594,0.1633,0.258732888,0.128532125,0.193632506
17,0.405307,0.1763,0.290803,0.390099,0.047888,0.218994,0.390099,0.043158,0.216629,0.42138093,0.038640667,0.230010798
18,0.165233,0.022477,0.093855,0.243455,0.007443,0.125449,0.243455,0.00746,0.125457,0.287453898,0.008366827,0.147910362
19,0.544626,0.64614,0.595383,0.4752,0.214986,0.345093,0.4752,0.212429,0.343815,0.49910148,0.236491265,0.367796373
20,0.124348,0.025882,0.075115,0.218481,0.007978,0.113229,0.218481,0.007318,0.112899,0.26464533,0.007313815,0.135979573
21,0.518364,0.352941,0.435653,0.459158,0.086104,0.272631,0.459158,0.08873,0.273944,0.484451132,0.04744141,0.265946271
22,0.678191,0.648359,0.663275,0.556785,0.165085,0.360935,0.556785,0.104709,0.330747,0.573611678,0.077085285,0.325348482
23,0.208425,0.421744,0.315084,0.269838,0.138839,0.204339,0.269838,0.139185,0.204512,0.3115488,0.156114598,0.233831699
24,0.092568,0.085397,0.088983,0.199069,0.030294,0.114682,0.199069,0.029725,0.114397,0.246917052,0.032446758,0.139681905
25,0.234581,0.052293,0.143437,0.285815,0.007424,0.146619,0.285815,0.007132,0.146473,0.32614014,0.007535046,0.166837593
26,0.080583,0.321978,0.201281,0.191748,0.066685,0.129217,0.191748,0.066873,0.129311,0.240231163,0.075006808,0.157618986
27,0.140308,0.108325,0.124316,0.22823,0.045946,0.137088,0.22823,0.046089,0.137159,0.273548802,0.051694709,0.162621756
28,0.423229,0.021558,0.222393,0.401047,0.006932,0.20399,0.401047,0.006989,0.204018,0.431378975,0.007839529,0.219609252
29,0.337272,0.273359,0.305316,0.348542,0.08194,0.215241,0.348542,0.063066,0.205804,0.383427315,0.050234457,0.216830886
30,0.26433,0.057773,0.161051,0.303986,0.024664,0.164325,0.303986,0.02476,0.164373,0.342735549,0.027771015,0.185253282
31,0.11388,0.677716,0.395798,0.212087,0.15466,0.183373,0.212087,0.153804,0.182946,0.258805689,0.168019744,0.213412716
32,0.269755,0.138655,0.204205,0.3073,0.031048,0.169174,0.3073,0.031158,0.169229,0.345762016,0.034948123,0.19035507
33,0.090919,0.06922,0.08007,0.198061,0.026999,0.11253,0.198061,0.0271,0.112581,0.245996769,0.030396155,0.138196462
34,0.481076,1,0.740538,0.436382,0.219257,0.327819,0.436382,0.170802,0.303592,0.463649563,0.06798304,0.265816301
35,0.31179,0.47516,0.393475,0.332977,0.162729,0.247853,0.332977,0.10239,0.217683,0.369211919,0.074484601,0.22184826
36,0.453713,0.126613,0.290163,0.419667,0.034401,0.227034,0.419667,0.03396,0.226813,0.448384562,0.034492024,0.241438293
37,0.592691,0.462185,0.527438,0.504559,0.141459,0.323009,0.504559,0.141461,0.32301,0.525915037,0.158202484,0.34205876
38,0.070134,0.115583,0.092859,0.185366,0.031847,0.108607,0.185366,0.0314,0.108383,0.234402012,0.031621181,0.133011596
39,0.76894,0.132445,0.450692,0.612218,0.037404,0.324811,0.612218,0.035666,0.323942,0.624236926,0.036580014,0.33040847
40,0.389727,0.524412,0.457069,0.380583,0.087375,0.233979,0.380583,0.084497,0.23254,0.412689665,0.027189362,0.219939513
41,0,0.258655,0.129328,0.142526,0.042641,0.092583,0.142526,0.042777,0.092651,0.195276981,0.0479795,0.12162824
42,0.090365,0.090993,0.090679,0.197723,0.038649,0.118186,0.197723,0.038776,0.11825,0.245687785,0.0434923,0.144590042
43,0.161449,0.596484,0.378966,0.241143,0.213808,0.227476,0.241143,0.184295,0.212719,0.285342514,0.182563407,0.233952961
44,0.218752,0.374407,0.296579,0.276146,0.049737,0.162941,0.276146,0.043333,0.159739,0.317309558,0.041327365,0.179318462
45,0.281591,0.01011,0.145851,0.31453,0.004597,0.159563,0.31453,0.004649,0.159589,0.352364895,0.005214389,0.178789642
46,0.095204,0.067479,0.081341,0.200679,0.026792,0.113735,0.200679,0.026892,0.113786,0.248387276,0.030163384,0.13927533
47,0.284863,0.171875,0.228369,0.316529,0.072702,0.194615,0.316529,0.072903,0.194716,0.354190471,0.056251603,0.205221037
48,,,,1,0.152189,0.576094,1,0,0.5,0.978390628,0,0.489195314
49,,,,0.29836,0.437681,0.368021,0.29836,0.438882,0.368621,0.337597675,0.38683179,0.362214732
50,,,,0.793441,0.023167,0.408304,0.793441,0.021504,0.407472,0.789744394,0.017578264,0.403661329
51,,,,0.203631,0.088037,0.145834,0.203631,0.050993,0.127312,0.251083377,0.042672059,0.146877718
52,,,,0.998311,0.011942,0.505126,0.998311,0,0.499156,0.976848181,0,0.48842409
53,,,,0.429644,0.085913,0.257778,0.429644,0.057378,0.243511,0.457496296,0.049486075,0.253491186
54,,,,0.340991,0.018659,0.179825,0.340991,0.016229,0.17861,0.376530916,0.013015732,0.194773324
55,,,,0.549783,0.075821,0.312802,0.549783,0.071436,0.310609,0.56721662,0.068275715,0.317746168
56,,,,0.460879,1,0.73044,0.460879,1,0.73044,0.486022709,1,0.743011354
57,,,,0.446026,0.101469,0.273748,0.446026,0.067155,0.256591,0.472457527,0.061953822,0.267205675
58,,,,0.470343,0.386511,0.428427,0.470343,0.382727,0.426535,0.494666289,0.42426208,0.459464184
59,,,,0.328875,0.119857,0.224366,0.328875,0.118604,0.22374,0.365466408,0.089585133,0.22752577
60,,,,0.881208,0,0.440604,0.881208,0,0.440604,0.869900721,0,0.43495036
61,,,,0.371749,0.057318,0.214533,0.371749,0.052426,0.212088,0.404622213,0.04763758,0.226129897
62,,,,0.479548,0.05028,0.264914,0.479548,0.036912,0.25823,0.503072602,0.032154687,0.267613645
63,,,,0.302563,0.015153,0.158858,0.302563,0.01197,0.157266,0.341436012,0.010569042,0.176002527
64,,,,0.267238,0.039542,0.15339,0.267238,0.034735,0.150986,0.309174468,0.034792737,0.171983602
65,,,,0.150766,0.108356,0.129561,0.150766,0.1037,0.127233,0.202802776,0.112146014,0.157474395
66,,,,0.2715,0.26317,0.267335,0.2715,0.263397,0.267448,0.313066548,0.225093165,0.269079856
67,,,,0.23617,0.483167,0.359669,0.23617,0.482476,0.359323,0.280800928,0.537621879,0.409211403
68,,,,0.332581,0.018279,0.17543,0.332581,0.017086,0.174833,0.368850491,0.016353042,0.192601767
69,,,,0.381129,0.087593,0.234361,0.381129,0.083831,0.23248,0.413188224,0.0899049,0.251546562
70,,,,0.249131,0.099104,0.174117,0.249131,0.105819,0.177475,0.292637359,0.117233159,0.204935259
71,,,,0.437392,0.162701,0.300046,0.437392,0.160025,0.298709,0.464572696,0.154453861,0.309513279
72,,,,0.340572,0.011303,0.175938,0.340572,0.009979,0.175275,0.376148331,0.009529241,0.192838786
73,,,,0.487631,0.036329,0.26198,0.487631,0.034892,0.261262,0.510454418,0.026313999,0.268384209
74,,,,0.659961,0.015578,0.33777,0.659961,0.012396,0.336178,0.667839852,0.011047516,0.339443684
75,,,,0.593437,0.072863,0.33315,0.593437,0.071789,0.332613,0.607085334,0.077710281,0.342397808
76,,,,0.194972,0.287912,0.241442,0.194972,0.286355,0.240663,0.243175235,0.313915552,0.278545394
77,,,,0.363783,0.116823,0.240303,0.363783,0.099648,0.231716,0.397347187,0.098398584,0.247872886
78,,,,0.705985,0.013905,0.359945,0.705985,0.013935,0.35996,0.709872423,0.015630147,0.362751285
