Reaction ID,pump1,pump2,pump3,pump4,pump5,pump6,pump7,pump8,pump9,pump10,pump11
prime1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prime2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISE_2_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
ISE_2_1,0.0,2.6,1.81,0.0,0.28,0.0,0.0,0.0,0.0,0.78,2.03
ISE_2_2,0.16,2.14,0.9,1.24,0.55,0.0,0.0,0.0,1.16,0.0,1.35
ISE_2_3,0.1,3.68,0.84,0.0,1.84,0.0,0.0,0.97,0.0,0.0,0.06
ISE_2_4,0.13,1.58,0.84,0.15,0.0,0.0,0.0,1.52,0.0,0.0,3.28
ISE_2_5,1.01,2.22,1.15,0.0,0.0,0.5,0.0,0.0,0.0,0.67,1.96
ISE_2_6,0.03,1.3,1.24,0.52,0.0,0.0,0.0,0.0,0.0,0.0,4.42
ISE_2_7,0.52,1.68,0.53,1.03,0.0,0.0,0.43,0.0,0.0,0.93,2.38
ISE_2_8,1.48,1.64,0.17,0.0,1.04,0.0,0.0,0.0,0.0,2.31,0.85
ISE_2_9,0.0,2.37,0.08,0.0,1.46,0.0,0.0,0.0,0.0,2.0,1.59
ISE_2_10,0.56,1.28,0.61,0.29,0.0,0.0,0.0,0.0,0.0,2.43,2.33
ISE_2_11,2.4,3.25,0.01,0.0,0.0,0.34,0.0,0.0,0.0,0.3,1.21
ISE_2_12,0.44,0.13,1.35,1.34,0.0,0.25,0.0,0.0,0.0,2.04,1.94
ISE_2_13,0.08,0.08,0.32,0.93,1.25,0.0,0.0,0.0,0.0,1.1,3.75
ISE_2_14,0.98,1.23,1.04,0.0,0.18,0.0,0.0,0.0,0.0,0.67,3.4
ISE_2_15,0.34,2.23,1.52,0.0,0.0,0.12,0.0,0.0,1.66,0.0,1.63
ISE_2_16,0.09,1.46,0.31,1.06,0.34,0.0,0.0,0.75,0.0,0.0,3.49
ISE_2_17,0.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.58,2.74
ISE_2_18,0.34,2.88,1.2,0.0,0.0,0.0,0.82,2.17,0.0,0.0,0.08
ISE_2_19,0.16,2.44,0.99,0.09,0.0,1.29,0.0,0.0,0.0,1.51,1.03
ISE_2_20,0.0,2.51,0.8,2.07,0.0,0.79,0.0,0.0,0.0,0.13,1.2
ISE_2_21,0.44,0.58,2.19,1.25,0.0,0.89,0.0,0.0,1.61,0.0,0.54
ISE_2_22,0.19,0.7,0.82,1.61,0.0,0.61,0.0,1.66,0.0,0.0,1.92
ISE_2_23,0.29,0.81,1.08,0.0,0.0,2.33,0.0,2.12,0.0,0.0,0.88
ISE_2_24,0.17,2.43,0.56,0.1,0.0,1.12,0.0,1.19,0.0,0.0,1.93
ISE_2_25,0.02,1.32,0.53,1.37,0.47,0.0,0.0,0.0,0.0,0.39,3.4
ISE_2_26,0.63,2.04,1.15,0.08,0.0,0.57,0.0,1.01,0.0,0.0,2.02
ISE_2_27,0.17,1.89,0.66,0.38,0.7,0.0,0.0,0.59,0.0,0.0,3.1
ISE_2_28,2.16,1.06,0.9,0.44,0.0,0.0,0.0,0.0,0.0,0.72,2.22
ISE_2_29,2.2,1.64,0.94,0.77,0.53,0.0,0.0,0.0,0.0,0.69,0.73
ISE_2_30,0.42,1.45,0.59,0.4,0.0,0.0,0.0,0.0,0.44,0.0,4.19
ISE_2_31,1.05,0.27,0.94,0.7,0.0,0.25,0.0,0.0,0.57,0.0,3.72
ISE_2_32,0.17,0.51,1.19,2.04,0.26,0.0,0.0,0.0,0.0,1.5,1.82
ISE_2_33,0.22,0.78,1.72,0.2,0.0,0.0,0.0,0.0,0.0,2.35,2.23
ISE_2_34,0.14,1.65,0.62,0.52,0.0,0.73,0.0,0.0,0.0,0.16,3.67
ISE_2_35,1.99,1.67,0.32,2.12,0.0,0.44,0.0,0.0,0.39,0.0,0.56
ISE_2_36,0.23,1.15,1.4,1.58,0.08,0.0,0.0,0.79,0.0,0.0,2.27
ISE_2_37,1.39,1.96,0.61,0.76,0.57,0.0,0.0,0.0,0.12,0.0,2.1
ISE_2_38,1.39,0.72,1.14,0.33,0.0,0.99,0.0,0.14,0.0,0.0,2.8
ISE_2_39,0.71,1.95,1.75,0.36,0.69,0.0,0.0,0.0,0.0,0.59,1.46
ISE_2_40,2.29,0.78,1.08,0.63,0.0,0.39,0.0,0.0,0.0,2.3,0.02
ISE_2_41,1.02,0.81,1.12,0.44,0.97,0.0,0.0,0.0,0.0,0.83,2.31
ISE_2_42,0.72,0.43,0.52,1.75,0.0,0.87,0.0,0.0,0.52,0.0,2.69
ISE_2_43,1.26,1.59,1.61,0.54,0.0,0.89,0.0,0.0,0.0,1.35,0.25
ISE_2_44,0.57,0.09,0.44,1.8,0.0,0.98,0.0,0.0,0.0,0.54,3.08
ISE_2_45,0.9,0.74,0.85,0.94,0.0,0.74,0.0,0.0,0.32,0.0,3.01
ISE_2_46,1.63,0.8,1.63,0.59,0.0,0.63,0.0,0.0,0.0,0.5,1.71
ISE_2_47,1.38,0.96,1.72,0.23,0.0,0.9,0.0,0.0,0.21,0.0,2.11
