,ISE1_%Diff,ISE1_Unique,ISE1_Score,ISE2_%Diff,ISE2_Unique,ISE2_Score
0,0,0.008311,0.004156,0.565681,0.006008,0.285844
1,0.35763,0.014047,0.185839,0.68887,0.015753,0.352311
2,0.463984,0.00849,0.236237,0.725505,0.00967,0.367587
3,0.305044,0.042839,0.173941,0.670756,0.034137,0.352446
4,0.423278,0.121574,0.272426,0.711483,0.037139,0.374311
5,0.305088,0.286809,0.295948,0.670771,0.107792,0.389282
6,0.366098,0.005433,0.185766,0.691786,0.005545,0.348666
7,0.092086,0.005255,0.04867,0.5974,0.003575,0.300488
8,0.192492,0.237374,0.214933,0.631986,0.071534,0.35176
9,0.389245,0.075439,0.232342,0.69976,0.064551,0.382156
10,0.718238,0.227989,0.473114,0.813085,0.246902,0.529993
11,0.091231,0.040219,0.065725,0.597106,0.030974,0.31404
12,0.102509,0.008311,0.05541,0.600991,0.006008,0.3035
13,0.060994,0.026466,0.04373,0.586691,0.021418,0.304054
14,0.547722,1,0.773861,0.754349,0.295748,0.525048
15,0.12667,0.061177,0.093923,0.609313,0.049222,0.329268
16,0.161607,0,0.080803,0.621348,0,0.310674
17,0.266933,0,0.133466,0.657628,0,0.328814
18,0.095252,0.002038,0.048645,0.598491,0.00149,0.29999
19,0.696605,0,0.348302,0.805633,0,0.402817
20,1,0,0.5,0.91014,0,0.45507
21,0.189035,0.014047,0.101541,0.630796,0.015753,0.323274
22,0.090159,0.002038,0.046098,0.596737,0.00149,0.299113
23,0.497395,0.014047,0.255721,0.737013,0.015753,0.376383
24,0.768134,0.148502,0.458318,0.830272,0.13116,0.480716
25,0.406563,0.046554,0.226558,0.705725,0.035457,0.370591
26,0.112124,0.002038,0.057081,0.604303,0.00149,0.302896
27,0.428472,0.053524,0.240998,0.713272,0.035491,0.374382
28,0.136764,0,0.068382,0.61279,0,0.306395
29,0.166361,0.034106,0.100234,0.622985,0.028054,0.32552
30,0.338504,0.075439,0.206972,0.682282,0.064551,0.373416
31,0.697299,0.005433,0.351366,0.805872,0.005545,0.405709
32,0.166063,0.0163,0.091182,0.622883,0.006396,0.314639
33,0.235056,0,0.117528,0.646648,0,0.323324
34,0.122268,0,0.061134,0.607797,0,0.303898
35,0.481878,0.005433,0.243656,0.731668,0.005545,0.368607
36,0.459998,0.136566,0.298282,0.724132,0.088883,0.406507
37,0.372098,0.030253,0.201176,0.693853,0.029061,0.361457
38,0.238117,0.005433,0.121775,0.647702,0.005545,0.326624
39,0.173256,0.003396,0.088326,0.62536,0.004055,0.314708
40,0.020609,0.135658,0.078134,0.57278,0.037138,0.304959
41,0.139617,0.020159,0.079888,0.613773,0.018673,0.316223
42,0.162113,0.019141,0.090627,0.621522,0.019676,0.320599
43,0.307037,0.020909,0.163973,0.671442,0.017363,0.344403
44,0.369003,0.040512,0.204758,0.692787,0.037171,0.364979
45,0.118445,0.055064,0.086755,0.60648,0.046303,0.326391
46,0.086097,0,0.043049,0.595338,0,0.297669
47,0.569662,0,0.284831,0.761906,0,0.380953
48,,,,0,0,0
49,,,,0.861119,0,0.430559
50,,,,0.739034,0,0.369517
51,,,,0.991473,0,0.495737
52,,,,0.726687,0.010064,0.368375
53,,,,0.841283,0.071636,0.456459
54,,,,0.91014,0,0.45507
55,,,,0.671333,0.111541,0.391437
56,,,,0.859715,0.251788,0.555752
57,,,,0.91014,0.402775,0.656458
58,,,,0.697203,0.493311,0.595257
59,,,,0.846043,0.020952,0.433498
60,,,,0.743761,0.334672,0.539216
61,,,,0.91014,0.460153,0.685147
62,,,,0.849794,0.108974,0.479384
63,,,,0.916963,0.042776,0.479869
64,,,,0.91014,0,0.45507
65,,,,0,0.100377,0.050188
66,,,,0.941991,0,0.470996
67,,,,0.622534,0.360239,0.491386
68,,,,0.60676,0,0.30338
69,,,,0.660874,0,0.330437
70,,,,0.91014,0,0.45507
71,,,,1,0.293646,0.646823
72,,,,0.91014,0.006396,0.458268
73,,,,0.657562,0.006008,0.331785
74,,,,0.713176,0,0.356588
75,,,,0.613612,0.035597,0.324604
76,,,,0.662976,0.029009,0.345992
77,,,,0.712564,0.006008,0.359286
78,,,,0.701281,0.147536,0.424408
79,,,,0.80905,0.277841,0.543446
80,,,,0.694224,1,0.847112
81,,,,0.817538,0.249512,0.533525
82,,,,0.691419,0.042638,0.367028
83,,,,0.71497,0.036497,0.375733
84,,,,0.666276,0.00149,0.333883
85,,,,0.604887,0.028054,0.316471
86,,,,0.698472,0.026402,0.362437
87,,,,0.654147,0.213955,0.434051
88,,,,0.621856,0.060696,0.341276
89,,,,0.70968,0.004193,0.356937
90,,,,0.682555,0.067913,0.375234
91,,,,0.769686,0.082358,0.426022
92,,,,0.633168,0.00149,0.317329
93,,,,0.638765,0.031736,0.33525
94,,,,0.634761,0.004193,0.319477
95,,,,0.734265,0,0.367132
