,ISE1_%Diff,ISE1_Unique,ISE1_Score,ISE2_%Diff,ISE2_Unique,ISE2_Score
0,0.416395,0.224521,0.320458,0.638979,0.23491,0.436944
1,0.701978,0,0.350989,0.693306,0,0.346653
2,0.457741,0,0.22887,0.646844,0,0.323422
3,0.661386,0,0.330693,0.685584,0,0.342792
4,1,0.198728,0.599364,0.75,0.163978,0.456989
5,1,0.214401,0.6072,0.75,0.184609,0.467305
6,1,0,0.5,0.75,0,0.375
7,1,0,0.5,0.75,0,0.375
8,1,1,1,0.75,1,0.875
9,0.112274,0,0.056137,0.581125,0,0.290562
10,1,0,0.5,0.75,0,0.375
11,1,0,0.5,0.75,0,0.375
12,1,0,0.5,0.75,0,0.375
13,1,0,0.5,0.75,0,0.375
14,0.710126,0.474566,0.592346,0.694856,0.219529,0.457192
15,1,0,0.5,0.75,0,0.375
16,1,0.390023,0.695012,0.75,0.405447,0.577723
17,0.45824,0,0.22912,0.646939,0,0.32347
18,1,0,0.5,0.75,0,0.375
19,0.500517,0,0.250258,0.654982,0,0.327491
20,1,0,0.5,0.75,0,0.375
21,0.702484,0,0.351242,0.693403,0,0.346701
22,1,0,0.5,0.75,0,0.375
23,1,0,0.5,0.75,0,0.375
24,1,0.048272,0.524136,0.75,0.036075,0.393038
25,1,0,0.5,0.75,0,0.375
26,1,0,0.5,0.75,0,0.375
27,0.318438,0,0.159219,0.620344,0,0.310172
28,0,0,0,0.559767,0,0.279883
29,0.516348,0,0.258174,0.657993,0,0.328997
30,0.153161,0,0.076581,0.588903,0,0.294452
31,0.498379,0,0.249189,0.654575,0,0.327287
32,0.52309,0.449579,0.486335,0.659276,0.46579,0.562533
33,0.14834,0,0.07417,0.587986,0,0.293993
34,0.48884,0.198818,0.343829,0.65276,0.208017,0.430389
35,1,0.029464,0.514732,0.75,0.022957,0.386478
36,1,0,0.5,0.75,0,0.375
37,0.58032,0,0.29016,0.670163,0,0.335081
38,1,0,0.5,0.75,0,0.375
39,0.72653,0,0.363265,0.697977,0,0.348988
40,0.888895,0.588752,0.738823,0.728864,0.319695,0.52428
41,0.872003,0,0.436002,0.725651,0,0.362825
42,0.936255,0,0.468127,0.737873,0,0.368937
43,1,0,0.5,0.75,0,0.375
44,0.430604,0,0.215302,0.641682,0,0.320841
45,0.83795,0,0.418975,0.719173,0,0.359586
46,0.038984,0.057138,0.048061,0.567183,0.050897,0.30904
47,0.507171,0,0.253585,0.656247,0,0.328124
48,,,,0,0,0
49,,,,0.75,0,0.375
50,,,,0.75,0,0.375
51,,,,0.871087,0,0.435543
52,,,,0.75,0,0.375
53,,,,1,0,0.5
54,,,,0.75,0,0.375
55,,,,0.75,0,0.375
56,,,,0.871062,0.09528,0.483171
57,,,,0.75,0.193011,0.471505
58,,,,0.718377,0.206129,0.462253
59,,,,0.764019,0.009995,0.387007
60,,,,0.75,0,0.375
61,,,,0.75,0.040011,0.395005
62,,,,0.9582,0.095936,0.527068
63,,,,0.905155,0,0.452578
64,,,,0.65942,0,0.32971
65,,,,0,0.109537,0.054769
66,,,,0.836006,0,0.418003
67,,,,0.729463,0.201538,0.4655
68,,,,0.5,0,0.25
69,,,,0.688296,0,0.344148
70,,,,0.695392,0,0.347696
71,,,,1,0,0.5
72,,,,0.693121,0,0.346561
73,,,,0.75,0,0.375
74,,,,0.75,0,0.375
75,,,,0.75,0,0.375
76,,,,0.648237,0,0.324118
77,,,,0.655076,0,0.327538
78,,,,0.671218,0,0.335609
79,,,,0.693436,0,0.346718
80,,,,0.75,0,0.375
81,,,,0.732497,0.183735,0.458116
82,,,,0.728592,0,0.364296
83,,,,0.623772,0,0.311886
84,,,,0.665023,0,0.332511
85,,,,0.691947,0,0.345973
86,,,,0.612842,0,0.306421
87,,,,0.75,0,0.375
88,,,,0.698416,0,0.349208
89,,,,0.75,0,0.375
90,,,,0.75,0,0.375
91,,,,0.75,0,0.375
92,,,,0.75,0,0.375
93,,,,0.75,0,0.375
94,,,,0.69869,0,0.349345
95,,,,0.61827,0,0.309135
,,,,0.734265,0,0.367132
