Reaction ID,pump1,pump2,pump3,pump4,pump5,pump6,pump7,pump8,pump9,pump10,pump11
prime1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prime2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISE_2_0,0.0,2.32,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85
ISE_2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75
ISE_2_2,0.0,1.07,1.07,1.07,0.0,0.0,0.54,0.0,0.0,0.0,3.75
ISE_2_3,0.0,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06
ISE_2_4,0.0,2.27,2.2,0.0,0.0,0.49,0.0,0.0,0.0,1.13,1.41
ISE_2_5,0.43,1.54,0.72,0.0,0.1,0.0,0.0,0.0,0.0,1.16,3.56
ISE_2_6,0.35,2.1,0.02,0.09,0.0,0.0,0.0,0.0,0.23,0.0,4.71
ISE_2_7,0.0,0.92,1.44,0.5,0.0,0.33,0.0,0.0,2.64,0.0,1.67
ISE_2_8,2.07,0.38,0.01,2.07,0.35,0.0,0.0,0.0,0.0,1.04,1.58
ISE_2_9,1.33,2.24,0.1,0.0,1.04,0.0,0.0,0.0,0.0,1.03,1.76
ISE_2_10,0.0,1.9,0.87,0.74,0.0,0.0,1.14,0.0,0.0,2.13,0.72
ISE_2_11,0.0,0.39,2.82,2.69,0.04,0.0,0.0,0.79,0.0,0.0,0.76
ISE_2_12,0.13,0.96,1.97,0.0,1.13,0.0,0.0,0.0,0.0,2.08,1.23
ISE_2_13,0.54,0.53,0.73,0.05,0.0,0.0,0.0,1.26,0.0,0.0,4.39
ISE_2_14,1.77,1.53,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.36,1.76
ISE_2_15,1.37,0.49,2.18,0.11,1.54,0.0,0.0,0.0,0.0,1.1,0.72
ISE_2_16,1.59,0.62,1.1,0.06,0.82,0.0,0.0,0.0,0.0,1.03,2.28
ISE_2_17,0.44,0.15,3.19,0.21,0.0,0.66,0.0,2.21,0.0,0.0,0.64
ISE_2_18,0.25,1.58,0.42,0.41,0.0,0.0,0.0,0.8,0.0,0.0,4.04
ISE_2_19,0.0,1.56,0.36,0.07,0.0,0.0,0.0,0.0,0.0,0.61,4.9
ISE_2_20,0.16,1.7,0.51,0.27,0.62,0.0,0.0,0.0,0.0,0.62,3.63
ISE_2_21,0.27,1.1,1.92,0.05,0.0,0.0,0.0,0.0,0.0,0.84,3.33
ISE_2_22,0.25,1.44,0.51,0.11,0.68,0.0,0.0,0.0,0.0,1.26,3.25
ISE_2_23,0.1,1.96,0.3,0.07,0.0,0.76,0.0,0.0,0.0,1.0,3.31
ISE_2_24,1.02,0.52,1.44,0.0,0.28,0.0,0.0,0.0,0.0,1.56,2.68
ISE_2_25,0.44,2.33,1.07,0.11,0.0,0.79,0.0,0.0,0.0,0.97,1.79
ISE_2_26,0.36,2.4,0.46,1.01,0.27,0.0,0.0,0.0,0.78,0.0,2.21
ISE_2_27,0.28,0.29,0.05,0.02,0.93,0.0,0.0,0.0,0.0,5.8,0.14
ISE_2_28,0.08,0.0,0.87,1.79,0.0,0.0,0.73,0.72,0.0,0.0,3.31
ISE_2_29,0.15,0.0,2.6,1.35,0.0,0.0,0.0,0.0,0.0,0.0,3.39
ISE_2_30,0.42,0.0,1.36,3.01,0.0,0.02,0.0,0.0,0.0,0.0,2.69
ISE_2_31,0.15,0.33,1.79,1.01,0.07,0.0,0.0,0.0,1.02,0.0,3.13
ISE_2_32,0.14,0.49,0.72,0.1,0.0,0.0,0.0,0.0,0.0,1.44,4.62
ISE_2_33,0.28,1.66,1.34,0.07,0.0,0.0,0.0,0.0,0.0,0.43,3.71
ISE_2_34,1.51,1.54,0.52,0.15,0.35,0.0,0.0,0.0,0.89,0.0,2.56
ISE_2_35,0.0,0.33,0.67,2.93,0.64,0.0,0.0,1.33,0.0,0.0,1.6
ISE_2_36,0.54,0.54,2.16,2.99,0.41,0.0,0.0,0.0,0.16,0.0,0.7
ISE_2_37,0.0,2.19,0.51,1.23,0.0,0.0,0.28,0.0,0.0,1.83,1.46
ISE_2_38,1.3,0.74,2.62,0.08,0.0,0.0,0.0,0.0,0.0,1.36,1.4
ISE_2_39,0.35,0.0,3.16,0.0,1.18,0.0,0.0,0.0,1.8,0.0,1.01
ISE_2_40,0.17,1.36,0.49,1.3,0.0,0.0,0.0,0.0,0.0,0.84,3.34
ISE_2_41,0.0,1.93,1.32,1.88,0.0,0.0,0.0,0.0,0.0,1.1,1.27
ISE_2_42,0.32,0.46,1.12,1.4,0.0,0.27,0.0,0.0,0.0,1.06,2.86
ISE_2_43,0.26,0.0,0.9,3.03,0.58,0.0,0.0,0.0,0.0,0.73,2.0
ISE_2_44,1.99,0.41,2.65,0.02,0.0,0.0,0.0,0.0,0.73,0.0,1.7
ISE_2_45,0.14,1.9,0.48,1.58,0.0,0.22,0.0,0.0,0.0,0.0,3.18
ISE_2_46,0.0,1.87,1.01,0.13,0.24,0.0,0.0,0.0,0.0,1.7,2.55
ISE_2_47,0.16,2.1,0.99,0.39,0.19,0.0,0.0,1.17,0.0,0.0,2.5
