,Co3O(OH),Co3O,Co3O Degradation,Co4O4,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
0,100.0,100.0,100.0,100.0,100.0,1.0,0.08048456105852866,0.0017844771391835174,0.5008922385695918
1,100.0,100.0,100.0,100.0,100.0,1.0,0.09283255372886018,0.0020582527595660216,0.501029126379783
2,100.0,100.0,100.0,100.0,100.0,1.0,0.184182335497835,0.00408362998834405,0.502041814994172
3,100.0,100.0,100.0,100.0,100.0,1.0,0.6200538806278482,0.013747630110547417,0.5068738150552737
4,100.0,100.0,100.0,100.0,100.0,1.0,0.14819699483483315,0.0032857748852745255,0.5016428874426373
5,100.0,100.0,100.0,100.0,100.0,1.0,0.29005375876056255,0.006430976262218518,0.5032154881311093
6,100.0,100.0,100.0,100.0,100.0,1.0,0.3733870920938959,0.008278615440584084,0.504139307720292
7,100.0,100.0,100.0,100.0,100.0,1.0,0.4350154445843174,0.009645018943297194,0.5048225094716486
8,100.0,100.0,100.0,100.0,100.0,1.0,0.12396282192809391,0.0027484627974612044,0.5013742313987306
9,100.0,100.0,100.0,100.0,100.0,1.0,0.15191313248710006,0.0033681678634968587,0.5016840839317485
10,100.0,100.0,100.0,100.0,100.0,1.0,0.413817894391862,0.009175033852645781,0.5045875169263229
11,100.0,100.0,100.0,100.0,100.0,1.0,0.23299823096350292,0.0051659599202164425,0.5025829799601083
12,100.0,100.0,100.0,100.0,100.0,1.0,0.08048456105852866,0.0017844771391835174,0.5008922385695918
13,100.0,100.0,100.0,100.0,100.0,1.0,0.21544522969176366,0.00477678056604565,0.5023883902830228
14,100.0,100.0,100.0,100.0,100.0,1.0,0.6419220073134622,0.01423248300200904,0.5071162415010045
15,100.0,100.0,100.0,100.0,100.0,1.0,0.38268762619262825,0.008484823814750598,0.5042424119073753
16,100.0,100.0,100.0,100.0,100.0,1.0,0.18501544458431737,0.004102101408200496,0.5020510507041003
17,100.0,100.0,100.0,100.0,100.0,1.0,0.298778563025097,0.006624419744411215,0.5033122098722056
18,100.0,100.0,100.0,100.0,100.0,1.0,0.23299823096350292,0.0051659599202164425,0.5025829799601083
19,100.0,100.0,100.0,100.0,100.0,1.0,0.39153718371475216,0.008681033285019507,0.5043405166425098
20,100.0,100.0,100.0,100.0,100.0,1.0,0.5612705879084262,0.012444306334606593,0.5062221531673033
21,100.0,100.0,100.0,100.0,100.0,1.0,0.17978198927704497,0.003986066963433196,0.5019930334817166
22,100.0,100.0,100.0,100.0,100.0,1.0,0.6255947971588184,0.013870481484147504,0.5069352407420737
23,100.0,100.0,100.0,100.0,100.0,1.0,0.2161457127835511,0.004792311446095679,0.5023961557230479
24,100.0,100.0,100.0,100.0,100.0,1.0,0.17227598098278485,0.003819646223461853,0.5019098231117309
25,100.0,100.0,100.0,100.0,100.0,1.0,0.12396282192809391,0.0027484627974612044,0.5013742313987306
26,100.0,100.0,100.0,100.0,100.0,1.0,0.12396282192809391,0.0027484627974612044,0.5013742313987306
27,100.0,100.0,100.0,100.0,100.0,1.0,0.5592147197886874,0.012398724304803606,0.5061993621524018
28,100.0,100.0,100.0,100.0,100.0,1.0,0.04935429285929495,0.0010942671012883348,0.5005471335506442
29,100.0,100.0,100.0,100.0,100.0,1.0,0.2465754978909974,0.005466990603940833,0.5027334953019704
30,100.0,100.0,100.0,100.0,100.0,1.0,0.16381789439186198,0.003632116317549083,0.5018160581587745
31,100.0,100.0,100.0,100.0,100.0,1.0,0.17629064031978298,0.003908657926007799,0.5019543289630038
32,100.0,100.0,100.0,100.0,100.0,1.0,0.12396282192809391,0.0027484627974612044,0.5013742313987306
33,100.0,100.0,100.0,100.0,100.0,1.0,0.12396282192809391,0.0027484627974612044,0.5013742313987306
34,100.0,100.0,100.0,100.0,100.0,1.0,0.1833826665372793,0.0040658999919291035,0.5020329499959646
35,100.0,100.0,100.0,100.0,100.0,1.0,0.2795274429710889,0.0061975902607407625,0.5030987951303704
36,100.0,100.0,100.0,100.0,100.0,1.0,0.1674410827976591,0.0037124484557388903,0.5018562242278695
37,100.0,100.0,100.0,100.0,100.0,1.0,0.14819699483483315,0.0032857748852745255,0.5016428874426373
38,100.0,100.0,100.0,100.0,100.0,1.0,0.23299823096350292,0.0051659599202164425,0.5025829799601083
39,100.0,100.0,100.0,100.0,100.0,1.0,0.6113843287641039,0.013555411666359502,0.5067777058331797
40,100.0,100.0,100.0,100.0,100.0,1.0,0.04935429285929495,0.0010942671012883348,0.5005471335506442
41,100.0,100.0,100.0,100.0,100.0,1.0,0.1328123794502178,0.002944672267730114,0.5014723361338651
42,100.0,100.0,100.0,100.0,100.0,1.0,0.1953913933566653,0.0043321535217745455,0.5021660767608873
43,100.0,100.0,100.0,100.0,100.0,1.0,0.569382515434857,0.012624161315925338,0.5063120806579626
44,100.0,100.0,100.0,100.0,100.0,1.0,0.29005375876056255,0.006430976262218518,0.5032154881311093
45,100.0,100.0,100.0,100.0,100.0,1.0,1.4481036086775763,0.032106875540702975,0.5160534377703515
46,100.0,100.0,100.0,100.0,100.0,1.0,0.10471873396526796,0.0023217892269968396,0.5011608946134984
47,100.0,100.0,100.0,100.0,100.0,1.0,0.12396282192809391,0.0027484627974612044,0.5013742313987306
48,0.0,0.0,0.0,100.0,100.0,1.0,1.5116439380876197,0.033515670764993975,0.516757835382497
49,100.0,0.0,0.0,100.0,100.0,1.0,0.12622004471340265,0.002798509196490435,0.5013992545982452
50,0.0,100.0,100.0,100.0,100.0,1.0,0.17385108264138124,0.003854568857873829,0.5019272844289369
51,100.0,0.0,0.0,0.0,100.0,1.0,0.5621231013444346,0.012463207981300017,0.50623160399065
52,0.0,0.0,0.0,100.0,100.0,1.0,1.4688105580318913,0.03256598319140054,0.5162829915957002
53,100.0,100.0,100.0,100.0,100.0,1.0,0.6952186040089026,0.015414157563545573,0.5077070787817728
54,0.0,100.0,46.91366517420985,0.0,73.45683258710493,0.0,1.0984057385118267,0.024353489714592166,0.012176744857296083
55,100.0,100.0,100.0,100.0,100.0,1.0,0.12559479715881838,0.0027846464139541093,0.501392323206977
56,86.62908953011342,0.0,0.0,100.0,93.31454476505671,0.7481289579744957,0.1432955270858257,0.0031771011591397885,0.3756530295668178
57,100.0,100.0,100.0,100.0,100.0,1.0,0.03882797706982126,0.0008608810998105789,0.5004304405499053
58,100.0,100.0,100.0,100.0,100.0,1.0,0.10817782227105965,0.002398482991899322,0.5011992414959496
59,100.0,100.0,100.0,100.0,100.0,1.0,0.9687461240569337,0.021478719512368554,0.5107393597561842
60,0.0,0.0,0.0,88.52752172338884,88.52752172338884,0.5677803595121187,10.89174419198043,0.24148815947806376,0.40463425949509124
61,100.0,0.0,0.0,100.0,100.0,1.0,0.41712104868506983,0.009248270300057588,0.5046241351500288
62,100.0,100.0,87.47281602002502,100.0,97.9121360033375,0.9213408119617182,0.3233932071835058,0.007170167515314454,0.4642554897385163
63,100.0,0.0,0.0,100.0,100.0,1.0,0.09092942307894106,0.002016057174561955,0.501008028587281
64,100.0,0.0,0.0,100.0,100.0,1.0,0.13241199517779895,0.0029357950797126446,0.5014678975398563
65,100.0,100.0,100.0,100.0,100.0,1.0,0.06473890824391033,0.001435369718832747,0.5007176848594164
66,100.0,100.0,100.0,100.0,100.0,1.0,0.08696113046613256,0.0019280734997302314,0.5009640367498651
67,100.0,100.0,100.0,100.0,100.0,1.0,0.10817782227105965,0.002398482991899322,0.5011992414959496
68,100.0,100.0,100.0,100.0,100.0,1.0,0.10817782227105965,0.002398482991899322,0.5011992414959496
69,100.0,100.0,100.0,100.0,100.0,1.0,0.12356243765567504,0.0027395856094437347,0.5013697928047218
70,100.0,100.0,100.0,100.0,100.0,1.0,0.11702737979318356,0.0025946924621682325,0.5012973462310841
71,100.0,100.0,100.0,100.0,100.0,1.0,0.34765150648158594,0.0077080145255182635,0.5038540072627591
72,100.0,100.0,100.0,100.0,100.0,1.0,0.11702737979318356,0.0025946924621682325,0.5012973462310841
73,100.0,100.0,100.0,100.0,100.0,1.0,0.35650106400370984,0.007904223995787173,0.5039521119978936
74,0.0,100.0,100.0,100.0,100.0,1.0,0.11702737979318356,0.0025946924621682325,0.5012973462310841
75,100.0,100.0,100.0,100.0,100.0,1.0,0.6895986144783897,0.015289553009482613,0.5076447765047413
76,100.0,100.0,100.0,100.0,100.0,1.0,0.10152390183471155,0.0022509544628442337,0.5011254772314221
77,100.0,100.0,100.0,100.0,100.0,1.0,0.09448600327630188,0.002094912497525671,0.5010474562487628
78,0.0,100.0,100.0,100.0,100.0,1.0,0.11702737979318356,0.0025946924621682325,0.5012973462310841
79,100.0,100.0,100.0,100.0,100.0,1.0,0.39629908847665696,0.008786612666640398,0.5043933063333202
80,100.0,100.0,100.0,100.0,100.0,1.0,0.03882797706982126,0.0008608810998105789,0.5004304405499053
81,100.0,100.0,100.0,100.0,100.0,1.0,0.5677348151952356,0.012587629049722217,0.5062938145248611
82,100.0,100.0,100.0,0.0,100.0,1.0,0.34765150648158594,0.0077080145255182635,0.5038540072627591
83,100.0,100.0,76.16929334011185,100.0,96.02821555668531,0.8503650908902026,2.5293860394839665,0.05608071292513786,0.45322290190767023
84,100.0,100.0,100.0,100.0,100.0,1.0,0.20348750336727858,0.004511657802350147,0.502255828901175
85,100.0,100.0,100.0,100.0,100.0,1.0,0.05820385038141884,0.0012904765715572445,0.5006452382857787
86,100.0,100.0,100.0,100.0,100.0,1.0,0.5857522472356232,0.012987105609698528,0.5064935528048493
87,100.0,100.0,100.0,100.0,100.0,1.0,0.046866955657254274,0.0010391186813167763,0.5005195593406584
88,100.0,100.0,100.0,100.0,100.0,1.0,0.11702737979318356,0.0025946924621682325,0.5012973462310841
89,100.0,100.0,100.0,100.0,100.0,1.0,0.10817782227105965,0.002398482991899322,0.5011992414959496
90,92.44640202540549,100.0,100.0,100.0,97.4821340084685,0.9051407108893765,0.1505947971588184,0.0033389381674637795,0.45423982452842016
91,100.0,100.0,100.0,100.0,100.0,1.0,0.16374612405693378,0.0036305250493571897,0.5018152625246786
92,100.0,100.0,100.0,100.0,100.0,1.0,0.10152390183471155,0.0022509544628442337,0.5011254772314221
93,100.0,100.0,100.0,100.0,100.0,1.0,0.09765150648158598,0.002165096990421567,0.5010825484952108
94,100.0,100.0,100.0,100.0,100.0,1.0,0.05820385038141884,0.0012904765715572445,0.5006452382857787
95,100.0,100.0,100.0,100.0,100.0,1.0,0.5871027336667549,0.013017048149378648,0.5065085240746893
