,0
0,[576.0]
1,[410.0]
2,[]
3,"[576.0, 577.0]"
4,"[243.0, 261.0, 285.0, 306.0]"
5,"[243.0, 261.0, 285.0, 576.0]"
6,[758.0]
7,[]
8,"[243.0, 257.0, 261.0, 263.0, 285.0, 345.0, 431.0]"
9,[576.0]
10,"[311.0, 374.0, 410.0, 758.0]"
11,[576.0]
12,[576.0]
13,"[576.0, 577.0]"
14,"[241.0, 243.0, 261.0, 263.0, 263.0, 285.0, 286.0, 289.0, 293.0, 294.0, 301.0, 302.0, 306.0, 348.0, 416.0, 417.0, 477.0, 581.0, 583.0, 586.0]"
15,"[576.0, 577.0]"
16,[]
17,[]
18,[576.0]
19,[]
20,[]
21,[374.0]
22,[]
23,[410.0]
24,"[300.0, 576.0]"
25,"[261.0, 324.0, 576.0]"
26,[]
27,"[374.0, 410.0]"
28,[]
29,[576.0]
30,"[576.0, 577.0]"
31,[758.0]
32,[431.0]
33,[]
34,[]
35,[]
36,"[576.0, 577.0]"
37,[576.0]
38,[]
39,[]
40,"[243.0, 261.0, 263.0, 285.0, 292.0, 293.0, 325.0, 576.0]"
41,"[289.0, 348.0]"
42,[]
43,[576.0]
44,[576.0]
45,[576.0]
46,"[246.0, 261.0, 263.0, 285.0, 286.0, 293.0, 294.0, 301.0, 306.0, 324.0, 416.0, 431.0]"
47,[]
48,[]
49,[]
50,[]
51,[]
52,[]
53,"[261.0, 263.0, 285.0, 293.0, 325.0, 345.0, 416.0]"
54,[]
55,"[246.0, 261.0, 263.0, 285.0, 289.0, 293.0, 306.0, 324.0, 326.0, 345.0, 431.0]"
56,"[241.0, 243.0, 257.0, 261.0, 262.0, 263.0, 263.0, 285.0, 286.0, 293.0, 294.0, 301.0, 416.0, 417.0, 581.0, 583.0, 586.0]"
57,"[241.0, 243.0, 257.0, 261.0, 262.0, 263.0, 263.0, 285.0, 286.0, 293.0, 294.0, 301.0, 302.0, 319.0, 345.0, 416.0, 417.0, 434.0, 561.0, 569.0, 581.0, 582.0, 583.0, 586.0]"
58,"[241.0, 243.0, 246.0, 257.0, 261.0, 263.0, 263.0, 285.0, 286.0, 289.0, 293.0, 294.0, 295.0, 301.0, 302.0, 306.0, 307.0, 309.0, 319.0, 339.0, 348.0, 388.0, 389.0, 416.0, 417.0, 431.0, 433.0, 477.0, 586.0, 591.0, 629.0]"
59,"[261.0, 285.0, 325.0]"
60,"[246.0, 261.0, 285.0, 289.0, 293.0, 306.0, 307.0, 324.0, 348.0, 361.0, 363.0, 363.0, 419.0, 433.0, 437.0, 451.0, 455.0, 479.0]"
61,"[261.0, 263.0, 265.0, 266.0, 267.0, 289.0, 300.0, 302.0, 306.0, 324.0, 363.0, 437.0, 561.0, 563.0, 565.0]"
62,"[261.0, 263.0, 263.0, 265.0, 285.0, 286.0, 293.0, 294.0, 301.0, 329.0, 416.0]"
63,"[261.0, 329.0, 510.0]"
64,[]
65,[]
66,[]
67,"[241.0, 243.0, 257.0, 261.0, 262.0, 263.0, 263.0, 285.0, 286.0, 293.0, 294.0, 300.0, 301.0, 319.0, 345.0, 345.0, 372.0, 416.0, 417.0, 431.0, 434.0, 503.0, 788.0]"
68,[]
69,[]
70,[]
71,[]
72,[]
73,"[306.0, 324.0, 326.0]"
74,[]
75,[]
76,"[261.0, 285.0, 293.0, 301.0, 416.0]"
77,"[261.0, 263.0, 285.0, 293.0, 324.0]"
78,[]
79,[]
80,[]
81,[]
82,[]
83,[]
84,[]
85,[]
86,[]
87,[]
88,[]
89,[]
90,[]
91,[]
92,[]
93,[]
94,[]
95,[]
