,Co3O(OH),Co3O,Co3O Degradation,Co4O4,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
115,100.0,100.0,100.0,100.0,100.0,1.0,6.446525446297393,1.0,1.0
123,100.0,100.0,100.0,100.0,100.0,1.0,4.131803312677818,0.6409349264340449,0.8204674632170225
48,0.0,0.0,0.0,100.0,100.0,1.0,3.515204533047125,0.5452866916186776,0.7726433458093388
152,100.0,100.0,100.0,100.0,100.0,1.0,2.7720352017630385,0.4300045388566916,0.7150022694283458
125,100.0,100.0,100.0,100.0,100.0,1.0,2.497398935285636,0.3874023233275275,0.6937011616637637
59,100.0,100.0,100.0,100.0,100.0,1.0,1.802871458918537,0.27966560807636753,0.6398328040381838
52,0.0,0.0,0.0,100.0,100.0,1.0,1.8007586060183578,0.27933785742715656,0.6396689287135783
97,100.0,100.0,100.0,100.0,100.0,1.0,1.5676945610690667,0.24318442145752842,0.6215922107287642
119,100.0,100.0,100.0,100.0,100.0,1.0,1.561196997117126,0.24217650424599044,0.6210882521229952
45,100.0,100.0,100.0,100.0,100.0,1.0,1.552655008702087,0.24085145116333406,0.620425725581667
133,100.0,100.0,82.29732831087642,100.0,97.0495547184794,0.8888435115664746,2.1822696301578444,0.33851873359334156,0.613681122579908
61,100.0,0.0,0.0,100.0,100.0,1.0,1.3423656227082137,0.2082308731875418,0.6041154365937709
51,100.0,0.0,0.0,0.0,100.0,1.0,1.0981225515965891,0.17034332071508435,0.5851716603575422
181,100.0,0.0,0.0,100.0,100.0,1.0,1.0720352017630386,0.1662965904181406,0.5831482952090703
21,100.0,100.0,100.0,100.0,100.0,1.0,1.0484699793444852,0.16264109838373184,0.5813205491918659
120,100.0,100.0,100.0,100.0,100.0,1.0,1.0411391784939648,0.16150392752920106,0.5807519637646006
95,100.0,100.0,100.0,100.0,100.0,1.0,1.0239132417558325,0.15883180021323334,0.5794159001066167
53,100.0,100.0,100.0,100.0,100.0,1.0,0.9948831871110239,0.15432859071120894,0.5771642953556044
107,100.0,100.0,100.0,100.0,100.0,1.0,0.9319047072914082,0.14455922264708568,0.5722796113235429
86,100.0,100.0,100.0,100.0,100.0,1.0,0.8683576862002771,0.13470166114042478,0.5673508305702124
75,100.0,100.0,100.0,100.0,100.0,1.0,0.851565601952303,0.13209683403040093,0.5660484170152005
151,100.0,100.0,100.0,100.0,100.0,1.0,0.8220352017630386,0.1275160097654125,0.5637580048827062
148,0.0,100.0,100.0,100.0,100.0,1.0,0.8205778088672825,0.12728993559446616,0.563644967797233
143,100.0,100.0,100.0,100.0,100.0,1.0,0.7524848759050049,0.11672720167996853,0.5583636008399843
62,100.0,100.0,87.47281602002502,100.0,97.9121360033375,0.9213408119617182,1.2490498537776906,0.19375551437481583,0.557548163168267
